Year: 2008  Month: 09  ID: BPT  ARGOS:  8921  Name: Bonaparte Point     
Lat: 64.78S  Lon:  64.07W  Elev:    8m
2008 250  9  6 0400    1.2  983.1   16.7  287.0   84.0   -5.3
2008 250  9  6 0500    1.3  982.9   14.7  280.0   83.0   -4.4
2008 250  9  6 0600    1.5  983.6   11.6  262.0   81.9   -3.0
2008 250  9  6 0700    0.2  981.2   10.2  248.0   95.0   -3.0
2008 250  9  6 0800   -0.7  978.0    8.6  240.0   97.0   -2.8
2008 250  9  6 0900   -1.3  976.5    9.9  220.0   97.4   -4.3
2008 250  9  6 1000   -1.7  976.1    6.1  213.0   98.0   -6.7
2008 250  9  6 1100   -2.1  973.7    5.9  187.0   93.4   -6.6
2008 250  9  6 1200   -2.6  972.8   11.1  184.0   91.0   -6.6
2008 250  9  6 1300   -3.0  971.6   10.8  176.0   89.0   -6.0
2008 250  9  6 1400   -3.6  970.1    9.7  170.0  444.0   -4.8
2008 250  9  6 1500   -3.8  969.4    9.6  165.0   72.0   -3.5
2008 250  9  6 1600   -4.0  970.9    6.4  165.0   71.0   -2.6
2008 250  9  6 1700   -4.0  971.8    7.2  176.0   71.0   -2.1
2008 250  9  6 1800   -4.3  444.0    6.1  176.0  444.0  444.0
2008 250  9  6 1900   -4.7  971.3    6.0  184.0   70.3   -1.5
2008 250  9  6 2000   -4.8  444.0    4.0  185.0  444.0   -1.5
2008 250  9  6 2100   -5.2  968.5    1.8  220.0   70.1   -2.2
2008 250  9  6 2200   -6.7  444.0    3.4  305.0   74.0   -2.3
2008 250  9  6 2300   -7.0  444.0    0.4  324.0   55.5   -1.9
2008 251  9  7 0000   -7.2  444.0    2.3  290.0   65.9   -2.0
2008 251  9  7 0100   -7.4  444.0    3.7  327.0  444.0   -1.9
2008 251  9  7 0200   -5.6  969.9    3.9    6.0   61.5   -1.8
2008 251  9  7 0300   -6.4  968.5    3.0  262.0  444.0   -1.7
2008 251  9  7 0400   -5.6  970.0    0.1  278.0   53.0   -2.0
2008 251  9  7 0500   -6.0  973.6    1.7  304.0   65.7   -1.9
2008 251  9  7 0600   -5.5  974.7    2.7  279.0   66.0   -1.6
2008 251  9  7 0700   -5.2  978.1    4.3  254.0   57.0   -2.0
2008 251  9  7 0800   -5.4  977.5    1.7  294.0   61.8   -2.0
2008 251  9  7 0900   -5.7  977.1    2.3  313.0   67.3   -2.0
2008 251  9  7 1000   -6.0  975.7    6.3  326.0   72.0   -1.8
2008 251  9  7 1100   -6.0  977.3    2.6  306.0   69.0   -2.2
2008 251  9  7 1200   -5.7  444.0    3.4  301.0   61.9   -2.3
2008 251  9  7 1300   -4.0  444.0    2.3  276.0   56.0   -2.1
2008 251  9  7 1400   -4.1  444.0    2.3  247.0   58.8   -2.1
2008 251  9  7 1500   -4.0  444.0    2.1  280.0   66.7   -2.3
2008 251  9  7 1600   -3.6  444.0    3.6  252.0   74.0   -2.2
2008 251  9  7 1700   -3.5  444.0    3.6  260.0   64.2   -1.9
2008 251  9  7 1800   -3.0  444.0    2.6  252.0  444.0   -2.0
2008 251  9  7 1900   -3.1  444.0    4.5    1.0   65.0   -2.0
2008 251  9  7 2000   -3.5  444.0    2.2  334.0  444.0   -1.9
2008 251  9  7 2100  444.0  444.0  444.0  444.0  444.0  444.0
2008 251  9  7 2200   -5.2  982.3    1.9  306.0   66.3   -1.9
2008 251  9  7 2300   -4.7  982.4    1.6  335.0  444.0   -1.9
2008 252  9  8 0000   -4.4  444.0    2.3  253.0   73.0   -1.9
2008 252  9  8 0100   -3.9  987.5    1.9  353.0   67.0   -1.9
2008 252  9  8 0200   -2.2  995.7    3.8   29.0   58.3   -1.6
2008 252  9  8 0300   -0.8  444.0    7.4  309.0   66.0   -1.7
2008 252  9  8 0400   -1.5  444.0    8.7   13.0   66.4   -1.7
2008 252  9  8 0500    1.1  444.0   16.7  290.0   76.3   -2.7
2008 252  9  8 0600    0.7 1002.1   15.3  286.0   82.4   -3.0
