Year: 2012  Month: 10  ID: HUG  ARGOS:  8935  Name: Hugo Island         
Lat: 64.96S  Lon:  64.67W  Elev:   25m
2012 280 10  6 0200   -2.1  973.7    5.3  308.0   96.3  444.0
2012 280 10  6 0300   -2.1  973.7    4.9  297.0   96.0  444.0
2012 280 10  6 0400   -2.0  973.8    3.4  289.0   96.0  444.0
2012 280 10  6 0500   -2.2  973.7    2.9  302.0   95.9  444.0
2012 280 10  6 0600   -2.3  973.8    3.1  308.0  100.0  444.0
2012 280 10  6 0700   -2.7  974.2    1.9  299.0   95.7  444.0
2012 280 10  6 0800   -2.9  974.2    2.1  252.0   95.0  444.0
2012 280 10  6 0900   -3.0  974.7    1.0  292.0   95.0  444.0
2012 280 10  6 1000   -2.9  975.0    1.7  265.0   94.9  444.0
2012 280 10  6 1100   -3.2  975.7    2.5  226.0   95.0  444.0
2012 280 10  6 1200   -2.7  976.3    1.9  248.0   93.5  444.0
2012 280 10  6 1300   -3.8  976.6    4.3  224.0   93.0  444.0
2012 280 10  6 1400   -3.5  976.9    2.4  186.0   92.0  444.0
2012 280 10  6 1500   -2.8  977.2    1.6  253.0   93.9  444.0
2012 280 10  6 1600   -2.2  977.3    4.5  259.0   94.0  444.0
2012 280 10  6 1700   -2.1  977.6    6.3  239.0   90.0  444.0
2012 280 10  6 1800   -2.6  978.0    7.0  244.0   87.0  444.0
2012 280 10  6 1900   -2.7  978.2    6.6  243.0   86.2  444.0
2012 280 10  6 2000   -3.1  978.4    7.9  254.0   89.4  444.0
2012 280 10  6 2100   -3.7  978.5    9.4  261.0   88.0  444.0
2012 280 10  6 2200   -3.4  978.5    8.2  260.0   87.0  444.0
2012 280 10  6 2300   -3.3  977.9   10.8  261.0   85.0  444.0
2012 281 10  7 0000   -3.2  979.0    7.8  250.0   82.6  444.0
2012 281 10  7 0100   -2.9  978.5    6.8  250.0   85.7  444.0
2012 281 10  7 0200   -2.9  978.5    4.6  242.0   86.0  444.0
2012 281 10  7 0300   -2.9  978.3    2.4  242.0   89.0  444.0
2012 281 10  7 0400   -2.9  977.8    1.2  256.0   90.0  444.0
2012 281 10  7 0500   -3.0  977.3    0.7  104.0   90.8  444.0
2012 281 10  7 0600   -3.2  976.8    4.3  305.0   92.8  444.0
2012 281 10  7 0700   -2.9  976.2    3.6  292.0   92.0  444.0
2012 281 10  7 0800   -2.8  975.4    2.6  317.0   87.0  444.0
2012 281 10  7 0900   -2.7  974.6    3.0   28.0   84.0  444.0
2012 281 10  7 1000   -2.7  973.4    5.2   62.0   82.7  444.0
2012 281 10  7 1100   -2.7  972.3    6.9   76.0   81.4  444.0
2012 281 10  7 1200   -2.6  971.0   10.0   82.0   85.0  444.0
2012 281 10  7 1300   -2.5  969.8   10.7   83.0   87.0  444.0
2012 281 10  7 1400   -2.3  968.5   13.2   92.0   86.0  444.0
2012 281 10  7 1500   -2.3  967.0   14.3   91.0   85.0  444.0
2012 281 10  7 1600   -2.2  967.0   14.6   84.0   82.1  444.0
2012 281 10  7 1700   -2.8  966.7   14.0   86.0   86.1  444.0
2012 281 10  7 1800   -3.2  966.4   14.4   93.0   92.8  444.0
2012 281 10  7 1900   -3.3  966.4   12.1  108.0   93.0  444.0
2012 281 10  7 2000   -3.2  966.8   11.3  114.0   94.0  444.0
2012 281 10  7 2100   -3.4  966.8   16.0  113.0   90.0  444.0
2012 281 10  7 2200   -3.4  968.4   12.6  128.0   90.0  444.0
2012 281 10  7 2300   -3.7  968.4    9.4  148.0   90.0  444.0
2012 282 10  8 0000   -3.6  969.4   10.1  143.0   91.0  444.0
2012 282 10  8 0100   -3.0  970.0    8.1  151.0   82.0  444.0
2012 282 10  8 0200   -3.3  971.0    6.1  155.0   90.0  444.0
2012 282 10  8 0300   -3.0  972.0    5.3  181.0   80.0  444.0
2012 282 10  8 0400   -2.7  973.1    4.8  170.0   82.8  444.0
2012 282 10  8 0500   -2.8  973.9    1.6  184.0   75.0  444.0
2012 282 10  8 0600   -3.7  975.1    1.1  225.0   89.0  444.0
2012 282 10  8 0700   -3.6  975.9    3.8  278.0   93.0  444.0
2012 282 10  8 0800   -3.5  976.6    4.9  288.0   92.5  444.0
2012 282 10  8 0900   -3.5  977.5    6.9  297.0   90.4  444.0
2012 282 10  8 1000   -3.0  978.3    5.9  262.0   74.0  444.0
2012 282 10  8 1100   -3.4  979.1    6.9  264.0   83.0  444.0
2012 282 10  8 1200   -3.9  980.0    6.5  258.0   79.0  444.0
2012 282 10  8 1300   -4.0  980.6    6.9  246.0   78.4  444.0
2012 282 10  8 1400   -4.6  981.4    7.4  252.0   79.7  444.0
2012 282 10  8 1500   -5.1  981.9    7.5  258.0   81.0  444.0
2012 282 10  8 1600   -5.4  982.6    8.4  259.0   83.0  444.0
2012 282 10  8 1700   -5.6  982.8    9.2  246.0   83.5  444.0
2012 282 10  8 1800   -5.7  983.5   10.3  248.0   83.6  444.0
2012 282 10  8 1900   -5.6  984.1    9.7  251.0   86.0  444.0
2012 282 10  8 2000   -6.3  984.6   12.0  254.0   86.0  444.0
2012 282 10  8 2100   -6.3  984.9   12.3  253.0   84.6  444.0
2012 282 10  8 2200   -6.1  985.0   12.5  254.0   83.0  444.0
2012 282 10  8 2300   -6.9  986.0   13.5  254.0   84.5  444.0
2012 283 10  9 0000   -7.1  985.8   15.7  261.0   83.0  444.0
2012 283 10  9 0100   -7.0  985.8   15.2  259.0   82.0  444.0
2012 283 10  9 0200   -6.7  986.8   12.6  245.0   77.6  444.0
2012 283 10  9 0300   -7.3  987.0   14.1  238.0   74.0  444.0
2012 283 10  9 0400   -8.2  987.4   13.6  239.0   78.7  444.0
2012 283 10  9 0500   -8.2  987.6   14.3  238.0   80.0  444.0
2012 283 10  9 0600   -8.1  987.3   13.8  242.0   79.0  444.0
2012 283 10  9 0700   -8.6  987.6   14.5  241.0   81.0  444.0
2012 283 10  9 0800   -9.0  988.5   13.2  240.0   82.0  444.0
2012 283 10  9 0900   -8.7  989.9    9.9  232.0   85.1  444.0
2012 283 10  9 1000   -8.2  990.1   12.7  240.0   82.0  444.0
2012 283 10  9 1100   -8.3  991.7   10.8  238.0   82.0  444.0
2012 283 10  9 1200   -8.1  991.7   12.7  238.0   82.0  444.0
2012 283 10  9 1300   -7.7  993.0    9.9  240.0   82.0  444.0
2012 283 10  9 1400   -7.1  993.3   10.6  241.0   80.8  444.0
2012 283 10  9 1500   -7.0  993.3   11.2  241.0   79.0  444.0
2012 283 10  9 1600   -6.4  993.8   10.8  246.0   79.0  444.0
2012 283 10  9 1700   -6.2  994.2   11.9  248.0   80.1  444.0
2012 283 10  9 1800   -6.1  994.9   10.1  250.0   80.0  444.0
2012 283 10  9 1900   -6.0  995.7    8.7  248.0   85.0  444.0
2012 283 10  9 2000   -5.9  996.2    9.7  242.0   85.0  444.0
2012 283 10  9 2100   -5.6  996.5    9.1  234.0   86.6  444.0
2012 283 10  9 2200   -5.5  996.3   10.0  244.0   83.0  444.0
2012 283 10  9 2300   -5.3  997.1    7.9  244.0   80.0  444.0
2012 284 10 10 0000   -4.8  997.6    8.8  258.0   84.0  444.0
2012 284 10 10 0100   -4.6  996.8   10.5  257.0   86.0  444.0
2012 284 10 10 0200   -4.2  997.2    8.9  245.0   86.2  444.0
2012 284 10 10 0300   -4.4  997.1    8.5  240.0   88.0  444.0
2012 284 10 10 0400   -4.2  997.1    6.6  240.0   92.0  444.0
2012 284 10 10 0500   -3.3  996.9    4.5  248.0   92.0  444.0
2012 284 10 10 0600   -3.2  997.0    3.7  250.0   93.0  444.0
2012 284 10 10 0700   -3.2  997.0    1.6  264.0   94.4  444.0
2012 284 10 10 0800   -2.7  996.6    6.1  270.0   94.0  444.0
2012 284 10 10 0900   -2.8  996.2    5.1  262.0   95.0  444.0
2012 284 10 10 1000   -2.9  995.3    7.5  281.0   90.2  444.0
2012 284 10 10 1100   -2.8  995.5    5.2  266.0   86.0  444.0
2012 284 10 10 1200   -3.0  995.3    5.7  266.0   92.6  444.0
2012 284 10 10 1300   -2.9  994.8    5.4  264.0   91.8  444.0
2012 284 10 10 1400   -2.2  994.5    5.6  271.0   83.0  444.0
2012 284 10 10 1500   -2.3  994.3    7.3  271.0   83.6  444.0
2012 284 10 10 1600   -1.9  993.9    7.0  278.0   82.0  444.0
2012 284 10 10 1700   -1.9  993.7    7.6  286.0   84.0  444.0
2012 284 10 10 1800   -1.8  993.2    7.1  287.0   86.0  444.0
2012 284 10 10 1900   -2.1  992.9    7.1  291.0   88.3  444.0
2012 284 10 10 2000   -2.0  992.5    6.5  286.0   87.1  444.0
2012 284 10 10 2100   -2.1  992.0    5.9  283.0   89.0  444.0
2012 284 10 10 2200   -2.1  991.2    7.1  293.0   91.0  444.0
2012 284 10 10 2300   -2.1  990.7    6.0  298.0   93.0  444.0
2012 285 10 11 0000   -2.2  990.6    7.5  306.0   93.6  444.0
2012 285 10 11 0100   -2.0  989.6    5.6  316.0   94.5  444.0
2012 285 10 11 0200   -2.0  988.8    6.5  327.0   95.0  444.0
2012 285 10 11 0300   -1.8  987.5    5.3  333.0   97.0  444.0
2012 285 10 11 0400   -1.8  986.8    5.9  321.0   96.0  444.0
2012 285 10 11 0500   -1.7  985.8    4.5  328.0   97.0  444.0
2012 285 10 11 0600   -1.8  985.0    2.9   19.0   97.0  444.0
2012 285 10 11 0700   -1.8  983.9    4.9   26.0   97.0  444.0
2012 285 10 11 0800   -1.7  982.6    6.3   12.0   96.9  444.0
2012 285 10 11 0900   -1.7  981.3    6.2    2.0   97.0  444.0
2012 285 10 11 1000   -1.6  980.3    6.2  352.0   97.0  444.0
2012 285 10 11 1100   -1.6  979.7    5.6  339.0   97.0  444.0
2012 285 10 11 1200   -1.5  979.2    5.8  322.0   97.0  444.0
2012 285 10 11 1300   -1.5  978.8    6.7  322.0   96.6  444.0
2012 285 10 11 1400   -1.4  978.0    7.3  318.0   96.0  444.0
2012 285 10 11 1500   -1.3  977.5    9.3  303.0   96.3  444.0
2012 285 10 11 1600   -1.2  977.2   10.9  302.0   96.0  444.0
2012 285 10 11 1700   -1.3  976.5   11.4  301.0   96.0  444.0
2012 285 10 11 1800   -1.4  977.0   11.6  300.0   95.7  444.0
2012 285 10 11 1900   -1.4  977.6    9.8  295.0   96.0  444.0
2012 285 10 11 2000   -1.5  977.6    9.5  300.0   95.5  444.0
2012 285 10 11 2100   -1.5  978.0    9.1  307.0   96.0  444.0
2012 285 10 11 2200   -1.6  977.8    8.8  313.0   96.0  444.0
2012 285 10 11 2300   -1.5  977.7    9.6  308.0   96.0  444.0
2012 286 10 12 0000   -1.5  978.3   10.4  307.0   96.0  444.0
2012 286 10 12 0100   -1.5  977.9   10.0  310.0   96.5  444.0
2012 286 10 12 0200   -1.5  977.7    8.6  318.0   97.0  444.0
2012 286 10 12 0300   -1.5  977.4    8.2  325.0   97.0  444.0
2012 286 10 12 0400   -1.5  977.4    8.6  323.0   97.0  444.0
2012 286 10 12 0500   -1.4  977.0    7.8  324.0   97.0  444.0
2012 286 10 12 0600   -1.4  976.3    5.1  332.0   97.3  444.0
2012 286 10 12 0700   -1.3  975.5    4.5  332.0   97.0  444.0
2012 286 10 12 0800   -1.3  974.6    3.7  342.0   97.0  444.0
2012 286 10 12 0900   -1.2  972.9    3.6  342.0   97.4  444.0
2012 286 10 12 1000   -1.3  971.8    3.9  354.0   97.0  444.0
2012 286 10 12 1100   -1.2  970.0   13.6    3.0   97.1  444.0
2012 286 10 12 1200   -0.9  968.4   14.2  348.0   97.0  444.0
2012 286 10 12 1300   -0.6  966.4   16.1  330.0   96.9  444.0
2012 286 10 12 1400   -0.6  966.0   16.9  317.0   96.0  444.0
2012 286 10 12 1500   -0.5  965.5   18.0  313.0   95.7  444.0
2012 286 10 12 1600   -0.5  965.3   18.6  314.0   95.4  444.0
2012 286 10 12 1700   -0.5  965.6   19.0  312.0   94.3  444.0
2012 286 10 12 1800   -0.5  966.3   18.8  310.0   93.4  444.0
2012 286 10 12 1900   -0.8  967.1   16.7  307.0   90.9  444.0
2012 286 10 12 2000   -0.9  967.9   15.8  311.0   89.0  444.0
2012 286 10 12 2100   -1.1  968.6   14.3  313.0   92.0  444.0
2012 286 10 12 2200   -1.3  969.4   10.2  315.0   90.0  444.0
2012 286 10 12 2300   -1.5  968.9    8.8  333.0   90.0  444.0
2012 287 10 13 0000   -1.5  968.8    6.7  354.0   93.0  444.0
2012 287 10 13 0100   -1.5  966.7    6.6   12.0   95.0  444.0
2012 287 10 13 0200   -1.6  965.4    7.2    5.0   97.0  444.0
2012 287 10 13 0300   -1.6  964.2    6.4  331.0   97.0  444.0
2012 287 10 13 0400   -1.8  963.1    9.1  307.0   96.7  444.0
