Year: 2010  Month: 02  ID: CDN  ARGOS:  8988  Name: Cape Denison        
Lat: 67.01S  Lon: 142.67E  Elev:   31m
2010  42  2 11 0700   -3.4  988.7  444.0  444.0   75.1  444.0
2010  42  2 11 0800   -2.2  989.4  444.0  444.0   80.0  444.0
2010  42  2 11 0900   -2.2  989.6  444.0  444.0   76.4  444.0
2010  42  2 11 1000   -3.1  989.8  444.0  444.0   76.4  444.0
2010  42  2 11 1100   -3.6  990.5  444.0  444.0   75.6  444.0
2010  42  2 11 1200   -4.9  991.8  444.0  444.0   82.6  444.0
2010  42  2 11 1300   -5.0  991.3  444.0  444.0   80.4  444.0
2010  42  2 11 1400   -5.9  990.4  444.0  444.0   79.5  444.0
2010  42  2 11 1500   -6.6  989.7  444.0  444.0   80.4  444.0
2010  42  2 11 1600   -6.9  989.0  444.0  444.0   82.6  444.0
2010  42  2 11 1700   -7.4  989.9  444.0  444.0   86.6  444.0
2010  42  2 11 1800   -7.1  988.9  444.0  444.0   83.0  444.0
2010  42  2 11 1900   -7.1  989.8  444.0  444.0   83.0  444.0
2010  42  2 11 2000   -7.4  990.3  444.0  444.0   79.5  444.0
2010  42  2 11 2100   -7.4  991.4  444.0  444.0   84.8  444.0
2010  42  2 11 2200   -7.9  991.5  444.0  444.0   80.8  444.0
2010  42  2 11 2300   -7.6  992.8  444.0  444.0   83.5  444.0
2010  43  2 12 0000   -7.6  993.0  444.0  444.0   78.2  444.0
2010  43  2 12 0100   -7.8  991.8  444.0  444.0   78.6  444.0
2010  43  2 12 0200   -7.6  992.6  444.0  444.0   78.2  444.0
2010  43  2 12 0300   -7.1  992.4  444.0  444.0   74.2  444.0
2010  43  2 12 0400   -6.8  992.9  444.0  444.0   73.4  444.0
2010  43  2 12 0500   -6.8  992.4  444.0  444.0   72.0  444.0
2010  43  2 12 0600   -6.4  992.1  444.0  444.0   72.9  444.0
2010  43  2 12 0700   -5.8  993.3  444.0  444.0   72.0  444.0
2010  43  2 12 0800   -5.4  992.8  444.0  444.0   70.3  444.0
2010  43  2 12 0900   -5.0  993.9  444.0  444.0   69.8  444.0
2010  43  2 12 1000   -5.5  992.9  444.0  444.0   71.6  444.0
2010  43  2 12 1100   -5.2  994.4  444.0  444.0   70.3  444.0
2010  43  2 12 1200   -5.5  994.0  444.0  444.0   72.0  444.0
