Year: 2001  Month: 10  ID: RAC  ARGOS:  8947  Name: Racer Rock          
Lat: 64.07S  Lon:  61.60W  Elev:   17m
2001 280 10  7 1000  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 1100  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 1200  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 1300   -1.2  999.7    3.0   68.0  444.0  444.0
2001 280 10  7 1400  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 1500   -1.5  997.3    2.5  287.0  444.0  444.0
2001 280 10  7 1600  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 1700   -1.5  994.9    1.0  143.0  444.0  444.0
2001 280 10  7 1800  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 1900   -1.4  992.5    4.0   53.0  444.0  444.0
2001 280 10  7 2000   -2.5  991.5    3.5  322.0  444.0  444.0
2001 280 10  7 2100  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 2200  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 2300  444.0  444.0  444.0  444.0  444.0  444.0
2001 281 10  8 0000  444.0  444.0  444.0  444.0  444.0  444.0
2001 281 10  8 0100  444.0  444.0  444.0  444.0  444.0  444.0
2001 281 10  8 0200  444.0  444.0  444.0  444.0  444.0  444.0
2001 281 10  8 0300   -1.4  983.9   10.2   30.0  444.0  444.0
2001 281 10  8 0400  444.0  444.0  444.0  444.0  444.0  444.0
2001 281 10  8 0500  444.0  444.0  444.0  444.0  444.0  444.0
2001 281 10  8 0600  444.0  444.0  444.0  444.0  444.0  444.0
2001 281 10  8 0700  444.0  444.0  444.0  444.0  444.0  444.0
2001 281 10  8 0800   -2.9  984.9    9.0    8.0  444.0  444.0
2001 281 10  8 0900   -0.9  983.9   14.2  357.0  444.0  444.0
2001 281 10  8 1000  444.0  444.0  444.0  444.0  444.0  444.0
2001 281 10  8 1100    0.1  986.0   18.8  278.0  444.0  444.0
2001 281 10  8 1200  444.0  444.0  444.0  444.0  444.0  444.0
2001 281 10  8 1300    0.8  988.1   16.2  304.0  444.0  444.0
2001 281 10  8 1400  444.0  444.0  444.0  444.0  444.0  444.0
2001 281 10  8 1500    1.1  992.1    3.5  345.0  444.0  444.0
2001 281 10  8 1600  444.0  444.0  444.0  444.0  444.0  444.0
2001 281 10  8 1700    0.1  992.2   13.5  338.0  444.0  444.0
2001 281 10  8 1800   -0.6  992.3   15.2  342.0  444.0  444.0
2001 281 10  8 1900   -0.5  994.0    5.0  360.0  444.0  444.0
2001 281 10  8 2000   -0.9  992.5   10.2   73.0  444.0  444.0
2001 281 10  8 2100   -1.0  991.7   14.5   53.0  444.0  444.0
2001 281 10  8 2200   -0.8  990.7   14.2   46.0  444.0  444.0
2001 281 10  8 2300   -1.1  990.9    7.2   24.0  444.0  444.0
2001 282 10  9 0000  444.0  444.0  444.0  444.0  444.0  444.0
2001 282 10  9 0100  444.0  989.7    7.5   22.0  444.0  444.0
2001 282 10  9 0200   -1.5  988.6   10.8    3.0  444.0  444.0
2001 282 10  9 0300   -0.6  987.6   10.8   15.0  444.0  444.0
2001 282 10  9 0400   -0.8  986.1   11.8   18.0  444.0  444.0
2001 282 10  9 0500   -0.5  985.0   11.2   13.0  444.0  444.0
2001 282 10  9 0600   -0.8  983.1   12.5    4.0  444.0  444.0
2001 282 10  9 0700   -0.6  982.4   14.0    4.0  444.0  444.0
2001 282 10  9 0800   -0.2  981.8   14.0    3.0  444.0  444.0
2001 282 10  9 0900   -0.5  981.5   13.0  347.0  444.0  444.0
2001 282 10  9 1000   -0.6  980.9   15.8  336.0  444.0  444.0
2001 282 10  9 1100   -0.5  979.9   18.0  333.0  444.0  444.0
2001 282 10  9 1200   -0.8  981.7   10.5  321.0  444.0  444.0
2001 282 10  9 1300  444.0  444.0  444.0  444.0  444.0  444.0
2001 282 10  9 1400  444.0  444.0  444.0  444.0  444.0  444.0
2001 282 10  9 1500  444.0  444.0  444.0  444.0  444.0  444.0
2001 282 10  9 1600    0.2  982.4    3.5  274.0  444.0  444.0
2001 282 10  9 1700    0.6  982.4    3.2  210.0  444.0  444.0
2001 282 10  9 1800    1.9  982.0    0.8  347.0  444.0  444.0
2001 282 10  9 1900  444.0  982.2    0.0    0.0  444.0  444.0
2001 282 10  9 2000    1.6  982.2    0.5  170.0  444.0  444.0
2001 282 10  9 2100   -0.6  981.6    6.5  200.0  444.0  444.0
2001 282 10  9 2200   -1.6  981.0    5.8  179.0  444.0  444.0
2001 282 10  9 2300   -2.6  981.0    0.0    0.0  444.0  444.0
2001 283 10 10 0000   -3.0  981.4    0.2  115.0  444.0  444.0
2001 283 10 10 0100   -3.9  979.8    1.8    8.0  444.0  444.0
2001 283 10 10 0200   -4.6  979.1    2.5   13.0  444.0  444.0
2001 283 10 10 0300   -3.8  978.5    3.5   13.0  444.0  444.0
2001 283 10 10 0400   -3.2  977.2    5.8   77.0  444.0  444.0
2001 283 10 10 0500   -3.1  975.5    8.5   59.0  444.0  444.0
2001 283 10 10 0600   -2.9  973.4   12.2   66.0  444.0  444.0
2001 283 10 10 0700   -2.9  969.7   15.2   66.0  444.0  444.0
2001 283 10 10 0800   -2.0  969.0   18.8   58.0  444.0  444.0
2001 283 10 10 0900   -1.8  967.2   16.2   46.0  444.0  444.0
2001 283 10 10 1000   -0.5  967.6   12.2  328.0  444.0  444.0
2001 283 10 10 1100  444.0  444.0  444.0  444.0  444.0  444.0
2001 283 10 10 1200   -0.8  966.6    6.5  356.0  444.0  444.0
2001 283 10 10 1300   -0.8  962.9   10.2  359.0  444.0  444.0
2001 283 10 10 1400   -1.2  962.5    6.2   20.0  444.0  444.0
2001 283 10 10 1500   -0.9  960.2    6.5  360.0  444.0  444.0
2001 283 10 10 1600   -0.5  958.2   17.5  329.0  444.0  444.0
2001 283 10 10 1700   -0.5  958.7   15.2  297.0  444.0  444.0
2001 283 10 10 1800    0.1  960.7   16.2  297.0  444.0  444.0
2001 283 10 10 1900  444.0  444.0  444.0  444.0  444.0  444.0
2001 283 10 10 2000    0.2  962.7   20.5  224.0  444.0  444.0
2001 283 10 10 2100    0.8  964.4   18.0  291.0  444.0  444.0
2001 283 10 10 2200   -0.1  965.2   15.5  308.0  444.0  444.0
2001 283 10 10 2300    1.1  964.0   18.8  354.0  444.0  444.0
2001 284 10 11 0000    0.5  964.7   20.0  314.0  444.0  444.0
2001 284 10 11 0100   -0.1  965.3   19.8  298.0  444.0  444.0
2001 284 10 11 0200   -0.6  965.9   11.2  315.0  444.0  444.0
2001 284 10 11 0300   -0.6  965.4   15.8  297.0  444.0  444.0
2001 284 10 11 0400   -1.1  966.8   11.2  290.0  444.0  444.0
2001 284 10 11 0500  444.0  444.0  444.0  444.0  444.0  444.0
2001 284 10 11 0600   -0.9  967.4   21.8  280.0  444.0  444.0
2001 284 10 11 0700   -1.4  967.4   20.5  291.0  444.0  444.0
2001 284 10 11 0800   -1.5  969.1   25.8  281.0  444.0  444.0
2001 284 10 11 0900  444.0  444.0  444.0  444.0  444.0  444.0
2001 284 10 11 1000   -1.9  969.8   22.8  301.0  444.0  444.0
2001 284 10 11 1100  444.0  444.0  444.0  444.0  444.0  444.0
2001 284 10 11 1200  444.0  444.0  444.0  444.0  444.0  444.0
2001 284 10 11 1300   -1.8  973.0   20.2  300.0  444.0  444.0
2001 284 10 11 1400  444.0  444.0  444.0  444.0  444.0  444.0
2001 284 10 11 1500  444.0  444.0  444.0  444.0  444.0  444.0
2001 284 10 11 1600   -1.6  976.0   14.5  283.0  444.0  444.0
2001 284 10 11 1700  444.0  444.0  444.0  444.0  444.0  444.0
2001 284 10 11 1800   -1.8  976.6   17.0  290.0  444.0  444.0
2001 284 10 11 1900   -1.9  977.6   18.5  291.0  444.0  444.0
2001 284 10 11 2000   -2.0  978.8   17.0  285.0  444.0  444.0
2001 284 10 11 2100   -2.0  979.8   14.5  291.0  444.0  444.0
2001 284 10 11 2200   -2.2  980.6   17.5  280.0  444.0  444.0
2001 284 10 11 2300   -1.9  982.8    9.0  298.0  444.0  444.0
2001 285 10 12 0000   -1.6  983.7    9.5  285.0  444.0  444.0
2001 285 10 12 0100   -2.1  984.7    8.0  285.0  444.0  444.0
2001 285 10 12 0200   -2.0  984.4   11.8  326.0  444.0  444.0
2001 285 10 12 0300   -2.5  984.1   11.5  343.0  444.0  444.0
2001 285 10 12 0400   -2.9  982.8    9.5   53.0  444.0  444.0
2001 285 10 12 0500  444.0  980.4   17.2  360.0  444.0  444.0
2001 285 10 12 0600   -1.1  979.9   16.8  318.0  444.0  444.0
2001 285 10 12 0700   -0.8  979.8   13.8  307.0  444.0  444.0
2001 285 10 12 0800   -1.0  979.4   15.0  325.0  444.0  444.0
2001 285 10 12 0900   -1.1  980.2   10.8  298.0  444.0  444.0
2001 285 10 12 1000   -0.8  979.0   16.0  311.0  444.0  444.0
2001 285 10 12 1100   -0.2  980.1   13.5  302.0  444.0  444.0
2001 285 10 12 1200  444.0  444.0  444.0  444.0  444.0  444.0
2001 285 10 12 1300   -0.1  980.5   13.2  297.0  444.0  444.0
2001 285 10 12 1400  444.0  444.0  444.0  444.0  444.0  444.0
2001 285 10 12 1500  444.0  444.0  444.0  444.0  444.0  444.0
2001 285 10 12 1600   -0.1  982.4   16.8  311.0  444.0  444.0
2001 285 10 12 1700  444.0  444.0  444.0  444.0  444.0  444.0
2001 285 10 12 1800   -1.2  981.0   14.8  319.0  444.0  444.0
2001 285 10 12 1900   -0.8  980.2   14.8  322.0  444.0  444.0
2001 285 10 12 2000   -0.8  980.7   16.0  321.0  444.0  444.0
2001 285 10 12 2100    0.1  978.8   19.0  325.0  444.0  444.0
2001 285 10 12 2200  444.0  444.0  444.0  444.0  444.0  444.0
2001 285 10 12 2300   -0.6  977.3   20.0  318.0  444.0  444.0
2001 286 10 13 0000   -0.8  977.3   19.5  314.0  444.0  444.0
2001 286 10 13 0100   -0.6  977.5   21.8  321.0  444.0  444.0
2001 286 10 13 0200   -0.6  977.2   18.2  321.0  444.0  444.0
2001 286 10 13 0300   -0.6  975.6   21.5  328.0  444.0  444.0
2001 286 10 13 0400   -0.9  976.9   15.8  326.0  444.0  444.0
2001 286 10 13 0500   -3.9  978.1   14.8  305.0  444.0  444.0
2001 286 10 13 0600  444.0  444.0  444.0  444.0  444.0  444.0
2001 286 10 13 0700   -4.6  978.2   12.8  311.0  444.0  444.0
2001 286 10 13 0800   -4.9  978.0   11.2  325.0  444.0  444.0
2001 286 10 13 0900  444.0  444.0  444.0  444.0  444.0  444.0
2001 286 10 13 1000  444.0  444.0  444.0  444.0  444.0  444.0
2001 286 10 13 1100   -5.5  976.3   17.0  326.0  444.0  444.0
2001 286 10 13 1200   -5.4  976.9   14.5  319.0  444.0  444.0
2001 286 10 13 1300  444.0  444.0  444.0  444.0  444.0  444.0
2001 286 10 13 1400  444.0  444.0  444.0  444.0  444.0  444.0
2001 286 10 13 1500  444.0  444.0  444.0  444.0  444.0  444.0
2001 286 10 13 1600   -5.2  976.4    5.8  336.0  444.0  444.0
2001 286 10 13 1700   -5.6  976.2    5.8   49.0  444.0  444.0
2001 286 10 13 1800   -5.5  976.3    1.0  329.0  444.0  444.0
2001 286 10 13 1900   -4.8  976.3    2.5  290.0  444.0  444.0
2001 286 10 13 2000   -4.8  976.7    3.8  266.0  444.0  444.0
2001 286 10 13 2100   -4.9  977.8    3.0  188.0  444.0  444.0
2001 286 10 13 2200   -5.2  978.4    3.8  194.0  444.0  444.0
2001 286 10 13 2300   -6.8  979.6    0.0    0.0  444.0  444.0
2001 287 10 14 0000   -5.6  980.6    7.2  214.0  444.0  444.0
2001 287 10 14 0100   -5.2  981.3   12.8  217.0  444.0  444.0
2001 287 10 14 0200   -4.9  982.5   14.8  207.0  444.0  444.0
2001 287 10 14 0300  444.0  444.0  444.0  444.0  444.0  444.0
2001 287 10 14 0400   -4.6  986.2   17.8  238.0  444.0  444.0
2001 287 10 14 0500   -4.8  988.2   18.2  214.0  444.0  444.0
2001 287 10 14 0600  444.0  444.0  444.0  444.0  444.0  444.0
2001 287 10 14 0700   -4.6  992.5   16.2  232.0  444.0  444.0
2001 287 10 14 0800  444.0  444.0  444.0  444.0  444.0  444.0
2001 287 10 14 0900   -4.8  995.7    3.5  249.0  444.0  444.0
2001 287 10 14 1000   -3.9  997.2    5.0  186.0  444.0  444.0
2001 287 10 14 1100  444.0  444.0  444.0  444.0  444.0  444.0
2001 287 10 14 1200   -2.4  999.1    0.0    0.0  444.0  444.0
2001 287 10 14 1300  444.0  444.0  444.0  444.0  444.0  444.0
2001 287 10 14 1400  444.0  444.0  444.0  444.0  444.0  444.0
2001 287 10 14 1500  444.0  444.0  444.0  444.0  444.0  444.0
2001 287 10 14 1600   -2.0  999.1   12.2  290.0  444.0  444.0
2001 287 10 14 1700   -2.2  999.9    7.5  336.0  444.0  444.0
2001 287 10 14 1800   -1.9 1000.3   10.5  294.0  444.0  444.0
2001 287 10 14 1900   -1.9  999.9    5.8  332.0  444.0  444.0
2001 287 10 14 2000  444.0  444.0  444.0  444.0  444.0  444.0
2001 287 10 14 2100   -2.6  996.6   10.2    7.0  444.0  444.0
