Year: 2009  Month: 07  ID: MPT  ARGOS:  8906  Name: Marble Point        
Lat: 77.44S  Lon: 163.76E  Elev:  108m
2009 186  7  5 2000  -23.2  972.3    6.1  235.0  444.0  444.0
2009 186  7  5 2100  -21.1  972.4    5.4  232.0  444.0  444.0
2009 186  7  5 2200  -23.8  972.0    7.6  225.0  444.0  444.0
2009 186  7  5 2300  -23.0  971.9   10.5  238.0  444.0  444.0
2009 187  7  6 0000  -23.6  972.2   10.0  245.0  444.0  444.0
2009 187  7  6 0100  -21.9  972.5    3.9  236.0  444.0  444.0
2009 187  7  6 0200  -22.4  972.8    0.0    0.0  444.0  444.0
2009 187  7  6 0300  -20.4  973.0    0.0    0.0  444.0  444.0
2009 187  7  6 0400  -23.0  973.1    1.7  350.0  444.0  444.0
2009 187  7  6 0500  -23.0  973.2    3.7  211.0  444.0  444.0
2009 187  7  6 0600  -23.2  973.5    0.5  343.0  444.0  444.0
2009 187  7  6 0700  -26.0  973.8    7.6  323.0  444.0  444.0
2009 187  7  6 0800  -24.4  974.3    3.4  295.0  444.0  444.0
2009 187  7  6 0900  -25.0  975.3    3.4  318.0  444.0  444.0
2009 187  7  6 1000  -26.4  976.2    3.2  329.0  444.0  444.0
2009 187  7  6 1100  -26.8  977.9    3.4  297.0  444.0  444.0
2009 187  7  6 1200  -26.8  979.2    1.7  284.0  444.0  444.0
2009 187  7  6 1300  -27.4  980.9    2.2  318.0  444.0  444.0
2009 187  7  6 1400  -28.9  983.5    1.7  180.0  444.0  444.0
2009 187  7  6 1500  -27.2  986.0    5.9  152.0  444.0  444.0
2009 187  7  6 1600  -27.4  987.7    3.7  159.0  444.0  444.0
2009 187  7  6 1700  -27.8  988.9    4.2  159.0  444.0  444.0
2009 187  7  6 1800  -27.2  990.4    6.4  150.0  444.0  444.0
2009 187  7  6 1900  -27.9  991.9    7.8  152.0  444.0  444.0
2009 187  7  6 2000  -28.5  993.2    9.6  145.0  444.0  444.0
2009 187  7  6 2100  -27.2  994.5    8.6  153.0  444.0  444.0
2009 187  7  6 2200  -27.1  995.6    5.6  146.0  444.0  444.0
2009 187  7  6 2300  -27.8  996.8    4.4  141.0  444.0  444.0
2009 188  7  7 0000  -27.8  997.7    4.9  149.0  444.0  444.0
2009 188  7  7 0100  -27.8  998.5    6.9  139.0  444.0  444.0
2009 188  7  7 0200  -29.8  999.3    6.4  132.0  444.0  444.0
2009 188  7  7 0300  -30.4  999.8    7.1  138.0  444.0  444.0
2009 188  7  7 0400  -31.1 1000.6    8.1  135.0  444.0  444.0
2009 188  7  7 0500  -29.1 1001.3    9.8  148.0  444.0  444.0
2009 188  7  7 0600  -28.6 1002.1    8.8  146.0  444.0  444.0
2009 188  7  7 0700  -28.0 1002.7    7.4  152.0  444.0  444.0
2009 188  7  7 0800  -28.0 1003.2    7.1  160.0  444.0  444.0
2009 188  7  7 0900  -27.5 1003.6    7.1  156.0  444.0  444.0
2009 188  7  7 1000  -27.5 1003.7    8.3  146.0  444.0  444.0
2009 188  7  7 1100  -27.8 1004.2    6.1  145.0  444.0  444.0
2009 188  7  7 1200  -27.9 1004.3    7.4  138.0  444.0  444.0
2009 188  7  7 1300  -28.1 1004.8    5.9  180.0  444.0  444.0
2009 188  7  7 1400  -26.5 1004.5   11.0  142.0  444.0  444.0
2009 188  7  7 1500  -26.1 1004.9    8.3  152.0  444.0  444.0
2009 188  7  7 1600  -26.1 1005.0    9.1  149.0  444.0  444.0
2009 188  7  7 1700  -26.1 1004.8    7.8  155.0  444.0  444.0
2009 188  7  7 1800  -26.0 1004.8    8.6  146.0  444.0  444.0
2009 188  7  7 1900  -26.0 1004.9    5.4  142.0  444.0  444.0
2009 188  7  7 2000  -25.5 1004.7    3.9  143.0  444.0  444.0
2009 188  7  7 2100  -25.5 1004.3    3.9  134.0  444.0  444.0
2009 188  7  7 2200  -25.5 1004.1    2.5  127.0  444.0  444.0
2009 188  7  7 2300  -25.5 1004.2    2.5  131.0  444.0  444.0
2009 189  7  8 0000  -25.5 1003.8    1.5  120.0  444.0  444.0
2009 189  7  8 0100  -25.1 1003.4    1.2  135.0  444.0  444.0
2009 189  7  8 0200  -25.1 1003.2    0.0    0.0  444.0  444.0
2009 189  7  8 0300  -25.2 1003.1    0.0    0.0  444.0  444.0
2009 189  7  8 0400  -22.6 1002.9    2.2  218.0  444.0  444.0
2009 189  7  8 0500  -24.8 1003.0    0.5  115.0  444.0  444.0
2009 189  7  8 0600  -25.0 1002.8    1.5  148.0  444.0  444.0
2009 189  7  8 0700  -28.8 1002.5    3.9  131.0  444.0  444.0
2009 189  7  8 0800  -30.0 1002.3    3.7  139.0  444.0  444.0
2009 189  7  8 0900  -28.0 1002.4    4.2  138.0  444.0  444.0
2009 189  7  8 1000  -26.8 1002.1    2.0  156.0  444.0  444.0
2009 189  7  8 1100  -26.9 1002.1    3.7  143.0  444.0  444.0
2009 189  7  8 1200  -26.8 1001.9    3.9  150.0  444.0  444.0
2009 189  7  8 1300  -27.1 1002.0    4.2  148.0  444.0  444.0
2009 189  7  8 1400  -27.5 1001.8    2.2  142.0  444.0  444.0
2009 189  7  8 1500  -26.4 1001.8    2.5  145.0  444.0  444.0
2009 189  7  8 1600  -26.9 1001.4    2.9  148.0  444.0  444.0
2009 189  7  8 1700  -30.9 1001.5    4.2  129.0  444.0  444.0
2009 189  7  8 1800  -28.4 1001.6    4.7  143.0  444.0  444.0
2009 189  7  8 1900  -27.1 1001.5    5.9  143.0  444.0  444.0
2009 189  7  8 2000  -27.1 1001.6    7.4  122.0  444.0  444.0
2009 189  7  8 2100  -28.0 1001.7    7.4  138.0  444.0  444.0
2009 189  7  8 2200  -28.4 1001.5    9.1  128.0  444.0  444.0
2009 189  7  8 2300  -28.6 1001.6    8.1  129.0  444.0  444.0
2009 190  7  9 0000  -29.0 1001.7    7.6  131.0  444.0  444.0
2009 190  7  9 0100  -29.2 1001.7    4.7  135.0  444.0  444.0
2009 190  7  9 0200  -28.8 1001.4    5.1  132.0  444.0  444.0
2009 190  7  9 0300  -27.8 1001.3    4.7  121.0  444.0  444.0
2009 190  7  9 0400  -27.8 1000.9    5.9  146.0  444.0  444.0
2009 190  7  9 0500  -27.5 1000.7    6.6  143.0  444.0  444.0
2009 190  7  9 0600  -27.9 1000.6    3.9  152.0  444.0  444.0
2009 190  7  9 0700  -27.5 1000.4    3.4  169.0  444.0  444.0
2009 190  7  9 0800  -29.5 1000.7    4.4  150.0  444.0  444.0
2009 190  7  9 0900  -29.9 1000.3    6.4  143.0  444.0  444.0
2009 190  7  9 1000  -30.4 1000.5    6.9  148.0  444.0  444.0
2009 190  7  9 1100  -30.8 1000.5    5.9  149.0  444.0  444.0
2009 190  7  9 1200  -30.8 1000.3    5.1  142.0  444.0  444.0
2009 190  7  9 1300  -31.1 1000.5    5.4  138.0  444.0  444.0
2009 190  7  9 1400  -30.8 1000.4    6.9  149.0  444.0  444.0
2009 190  7  9 1500  -30.9 1000.6    8.3  148.0  444.0  444.0
2009 190  7  9 1600  -31.0 1000.7    9.6  143.0  444.0  444.0
2009 190  7  9 1700  -31.0 1001.0    7.6  139.0  444.0  444.0
2009 190  7  9 1800  -31.2 1001.3    9.3  150.0  444.0  444.0
2009 190  7  9 1900  -31.1 1001.8    8.6  145.0  444.0  444.0
2009 190  7  9 2000  -31.4 1002.2    8.6  139.0  444.0  444.0
2009 190  7  9 2100  -29.9 1002.8    6.1  152.0  444.0  444.0
2009 190  7  9 2200  -31.1 1003.2    7.1  162.0  444.0  444.0
2009 190  7  9 2300  -31.9 1003.4    6.1  139.0  444.0  444.0
2009 191  7 10 0000  -31.9 1003.7    0.0    0.0  444.0  444.0
