Year: 2004  Month: 02  ID: PGS  ARGOS:  8937  Name: Pegasus South       
Lat: 77.99S  Lon: 166.57E  Elev:    5m
2004  37  2  6 0300  -11.1 1007.7    2.8   51.0  444.0  444.0
2004  37  2  6 0400  444.0 1007.8    0.3   65.0  444.0  444.0
2004  37  2  6 0500  -10.0 1007.5    4.1  134.0  444.0  444.0
2004  37  2  6 0600  -10.2 1007.6    4.8  146.0  444.0  444.0
2004  37  2  6 0700  -10.8 1007.8    4.6  158.0  444.0  444.0
2004  37  2  6 0800  -10.4 1008.0    1.5   49.0  444.0  444.0
2004  37  2  6 0900  -10.1 1008.1    0.5   62.0  444.0  444.0
2004  37  2  6 1000  -10.6 1008.0    3.0  146.0  444.0  444.0
2004  37  2  6 1100  -12.4 1007.8    3.0  146.0  444.0  444.0
2004  37  2  6 1200  -12.5 1007.8    2.5  153.0  444.0  444.0
2004  37  2  6 1300  -13.9 1007.9    0.8  360.0  444.0  444.0
2004  37  2  6 1400  -14.4 1007.6    1.8   38.0  444.0  444.0
2004  37  2  6 1500  -13.2 1007.5    2.0   45.0  444.0  444.0
2004  37  2  6 1600  -13.2 1007.7    1.3   21.0  444.0  444.0
2004  37  2  6 1700  -12.9 1007.6    2.8   38.0  444.0  444.0
2004  37  2  6 1800  -12.6 1007.6    2.5   49.0  444.0  444.0
2004  37  2  6 1900  -11.1 1007.5    0.5   60.0  444.0  444.0
2004  37  2  6 2000  -11.1 1007.6    4.8  142.0  444.0  444.0
2004  37  2  6 2100  -11.1 1008.0    3.0   22.0  444.0  444.0
2004  37  2  6 2200  444.0 1007.9    4.1  149.0  444.0  444.0
2004  37  2  6 2300   -8.6 1007.7    2.5  112.0  444.0  444.0
2004  38  2  7 0000  444.0 1007.8    3.3   87.0  444.0  444.0
2004  38  2  7 0100  444.0  444.0  444.0  444.0  444.0  444.0
2004  38  2  7 0200  444.0 1007.2    6.6   41.0  444.0  444.0
2004  38  2  7 0300   -6.9 1007.1    8.9  179.0  444.0  444.0
