Year: 2004  Month: 02  ID: DIS  ARGOS:  8932  Name: Dismal Island       
Lat: 68.09S  Lon:  68.83W  Elev:   10m
2004  37  2  6 0200    2.0  988.0    9.7   91.0   81.2  444.0
2004  37  2  6 0300    2.0  444.0    6.6   78.0   80.6  444.0
2004  37  2  6 0400  444.0  444.0  444.0  444.0  444.0  444.0
2004  37  2  6 0500    1.7  991.5    7.8   75.0   80.2  444.0
2004  37  2  6 0600    1.4  444.0    8.6   84.0   80.0  444.0
2004  37  2  6 0700    1.4  993.5    7.6   75.0   79.8  444.0
2004  37  2  6 0800    1.2  444.0    6.0   75.0   80.2  444.0
2004  37  2  6 0900  444.0  444.0  444.0  444.0  444.0  444.0
2004  37  2  6 1000    1.7  996.3    7.0   74.0   79.4  444.0
2004  37  2  6 1100    2.2  444.0  444.0  444.0   78.5  444.0
2004  37  2  6 1200  444.0  444.0  444.0  444.0  444.0  444.0
2004  37  2  6 1300    2.6  997.0    6.2   73.0   78.5  444.0
2004  37  2  6 1400  444.0  444.0  444.0  444.0  444.0  444.0
2004  37  2  6 1500  444.0  997.7    4.2   76.0   78.3  444.0
2004  37  2  6 1600    3.3  444.0    4.9   74.0   78.1  444.0
2004  37  2  6 1700  444.0  998.4    3.7   81.0   77.7  444.0
2004  37  2  6 1800  444.0  444.0  444.0  444.0  444.0  444.0
2004  37  2  6 1900    3.2  997.7    4.4   78.0   77.9  444.0
2004  37  2  6 2000    3.2  444.0    4.7   71.0   78.0  444.0
2004  37  2  6 2100    2.6  997.7    4.3   74.0   78.0  444.0
2004  37  2  6 2200    2.1  444.0    2.5   70.0   78.0  444.0
2004  37  2  6 2300    2.3  444.0  444.0  444.0  444.0  444.0
2004  38  2  7 0000    2.2  994.9    6.3   72.0   78.5  444.0
2004  38  2  7 0100    2.2  444.0    6.3   71.0   78.7  444.0
2004  38  2  7 0200    2.3  993.5    9.8   71.0   78.7  444.0
2004  38  2  7 0300    2.3  444.0    9.1   70.0   78.8  444.0
2004  38  2  7 0400    1.8  444.0  444.0  444.0  444.0  444.0
2004  38  2  7 0500    1.4  989.4   16.3   70.0   80.1  444.0
2004  38  2  7 0600    1.3  988.7   11.1   71.0   82.4  444.0
2004  38  2  7 0700    0.9  987.3   15.4   71.0   85.9  444.0
2004  38  2  7 0800    0.6  444.0   13.8   71.0   88.1  444.0
2004  38  2  7 0900    0.8  985.3   12.1   71.0   91.6  444.0
2004  38  2  7 1000  444.0  444.0  444.0  444.0  444.0  444.0
2004  38  2  7 1100    1.5  982.5   12.5   70.0   93.4  444.0
2004  38  2  7 1200  444.0  444.0  444.0  444.0  444.0  444.0
2004  38  2  7 1300  444.0  444.0  444.0  444.0  444.0  444.0
2004  38  2  7 1400    1.7  444.0   17.1   59.0   92.3  444.0
2004  38  2  7 1500  444.0  444.0  444.0  444.0  444.0  444.0
2004  38  2  7 1600  444.0  444.0  444.0  444.0  444.0  444.0
2004  38  2  7 1700  444.0  444.0  444.0  444.0  444.0  444.0
2004  38  2  7 1800  444.0  444.0  444.0  444.0  444.0  444.0
2004  38  2  7 1900  444.0  444.0  444.0  444.0  444.0  444.0
2004  38  2  7 2000    1.5  444.0   15.9   59.0   92.5  444.0
2004  38  2  7 2100  444.0  444.0  444.0  444.0  444.0  444.0
2004  38  2  7 2200  444.0  444.0  444.0  444.0  444.0  444.0
2004  38  2  7 2300  444.0  444.0  444.0  444.0  444.0  444.0
2004  39  2  8 0000  444.0  444.0  444.0  444.0  444.0  444.0
2004  39  2  8 0100    1.9  444.0   12.7   58.0   94.7  444.0
2004  39  2  8 0200    2.0  444.0   11.4   57.0   94.7  444.0
2004  39  2  8 0300    2.1  986.0   11.8   58.0   94.8  444.0
2004  39  2  8 0400    2.5  986.0    9.7   60.0   94.5  444.0
2004  39  2  8 0500    2.4  986.0    7.9   66.0   94.2  444.0
2004  39  2  8 0600    2.1  444.0    5.2   69.0   94.1  444.0
2004  39  2  8 0700    2.2  985.3    5.3   66.0   93.9  444.0
