Year: 2011  Month: 04  ID: FE2  ARGOS:  8947  Name: Ferrell II          
Lat: 77.85S  Lon: 170.82E  Elev:   45m
2011  95  4  5 1400  -33.5  994.0    3.8  226.0   71.0  444.0
2011  95  4  5 1500  -31.8  994.3    3.5  207.0   72.0  444.0
2011  95  4  5 1600  -31.1  994.6    5.8  203.0   73.0  444.0
2011  95  4  5 1700  -31.3  994.4    6.3  206.0   71.9  444.0
2011  95  4  5 1800  -31.8  994.7    4.0  215.0   72.7  444.0
2011  95  4  5 1900  -30.5  994.7    4.6  208.0   74.0  444.0
2011  95  4  5 2000  -29.7  994.8    4.7  203.0   74.0  444.0
2011  95  4  5 2100  -29.2  995.0    5.1  176.0   75.0  444.0
2011  95  4  5 2200  -28.6  995.1    3.1  181.0   75.3  444.0
2011  95  4  5 2300  -27.6  995.3    1.3  202.0   77.0  444.0
2011  96  4  6 0000  -27.8  995.5    1.9  210.0   76.0  444.0
2011  96  4  6 0100  -28.0  995.2    1.5  191.0   75.9  444.0
2011  96  4  6 0200  -28.9  995.2    2.3  168.0   75.0  444.0
2011  96  4  6 0300  -29.2  995.2    0.9  140.0   74.0  444.0
2011  96  4  6 0400  -29.9  994.9    0.9  108.0   74.0  444.0
2011  96  4  6 0500  -31.8  994.4    2.7  148.0   73.0  444.0
2011  96  4  6 0600  -29.1  994.2    2.3  180.0   76.0  444.0
2011  96  4  6 0700  -28.8  994.1    1.8  198.0   75.1  444.0
2011  96  4  6 0800  -28.6  993.8    0.3  303.0   76.0  444.0
2011  96  4  6 0900  -29.1  993.7    1.0  198.0   75.0  444.0
2011  96  4  6 1000  -33.8  993.6    3.6  144.0   70.0  444.0
2011  96  4  6 1100  -34.9  993.4    3.9  142.0   68.0  444.0
2011  96  4  6 1200  -35.3  993.3    2.8  103.0   69.0  444.0
2011  96  4  6 1300  -35.1  993.0    3.3  120.0   70.0  444.0
2011  96  4  6 1400  -34.5  992.6    3.4  108.0   70.0  444.0
2011  96  4  6 1500  -35.7  992.8    2.7   63.0   68.0  444.0
2011  96  4  6 1600  -36.8  992.6    2.2   74.0   67.0  444.0
2011  96  4  6 1700  -37.2  992.6    0.7  245.0   67.8  444.0
2011  96  4  6 1800  -37.3  992.3    3.1  170.0   66.5  444.0
2011  96  4  6 1900  -36.8  992.5    2.3  235.0   68.0  444.0
2011  96  4  6 2000  -36.0  992.5    4.3  200.0   68.0  444.0
2011  96  4  6 2100  -37.8  992.9    2.6  234.0   65.1  444.0
2011  96  4  6 2200  -34.4  992.9    3.6  222.0   70.0  444.0
2011  96  4  6 2300  -32.8  993.1    2.6  234.0   71.0  444.0
2011  97  4  7 0000  -30.4  993.0    1.5  263.0   74.0  444.0
2011  97  4  7 0100  -31.1  993.1    4.4  328.0   73.0  444.0
2011  97  4  7 0200  -28.0  993.0    5.1  307.0   76.3  444.0
2011  97  4  7 0300  -28.0  993.5    5.2  304.0   76.0  444.0
2011  97  4  7 0400  -26.3  994.0    5.4  264.0   78.0  444.0
2011  97  4  7 0500  -25.4  994.0    5.6  239.0   78.8  444.0
2011  97  4  7 0600  -26.8  994.9    5.6  201.0   77.0  444.0
2011  97  4  7 0700  -28.0  995.7    5.0  195.0   76.0  444.0
2011  97  4  7 0800  -29.2  996.7    4.5  196.0   74.0  444.0
2011  97  4  7 0900  -30.6  997.4    2.5  211.0   74.0  444.0
2011  97  4  7 1000  -31.1  997.9    2.7  245.0   71.0  444.0
2011  97  4  7 1100  -30.8  998.6    5.0  247.0   73.0  444.0
2011  97  4  7 1200  -33.6  998.8    2.2  201.0   71.0  444.0
2011  97  4  7 1300  -35.9  998.6    2.3  232.0   69.0  444.0
2011  97  4  7 1400  -33.7  998.7    0.5  332.0   71.0  444.0
2011  97  4  7 1500  -32.1  998.3    1.0   68.0   72.0  444.0
2011  97  4  7 1600  -33.3  998.4    1.2  344.0   69.6  444.0
2011  97  4  7 1700  -38.8  998.4    3.1    2.0   64.0  444.0
2011  97  4  7 1800  -37.2  997.7    4.5  349.0   65.0  444.0
2011  97  4  7 1900  -37.1  997.7    3.6  350.0   65.8  444.0
2011  97  4  7 2000  -35.2  997.6    3.5    8.0   67.7  444.0
2011  97  4  7 2100  -36.1  997.2    3.3   26.0   68.0  444.0
2011  97  4  7 2200  -35.1  996.9    3.7   18.0   68.0  444.0
2011  97  4  7 2300  -36.1  996.6    3.0   31.0   67.0  444.0
2011  98  4  8 0000  -30.6  996.2    3.3   22.0   70.0  444.0
2011  98  4  8 0100  -29.8  995.8    2.6   32.0   71.0  444.0
2011  98  4  8 0200  -34.3  994.9    1.9   53.0   69.0  444.0
2011  98  4  8 0300  -32.1  994.6    2.3   56.0   73.0  444.0
2011  98  4  8 0400  -29.4  994.1    2.1   58.0   75.0  444.0
2011  98  4  8 0500  -29.5  993.7    2.2   78.0   74.0  444.0
2011  98  4  8 0600  -30.3  993.2    2.1   77.0   73.0  444.0
2011  98  4  8 0700  -32.1  992.7    2.1   80.0   71.7  444.0
2011  98  4  8 0800  -31.1  992.8    2.6   70.0   73.0  444.0
2011  98  4  8 0900  -30.6  992.4    3.1   64.0   74.0  444.0
2011  98  4  8 1000  -30.9  991.9    4.0   75.0   71.0  444.0
2011  98  4  8 1100  -32.7  991.8    3.0   75.0   72.0  444.0
2011  98  4  8 1200  -34.1  991.2    2.8   81.0   69.0  444.0
2011  98  4  8 1300  -37.0  990.9    2.3  101.0   66.0  444.0
2011  98  4  8 1400  -40.8  990.4    2.7  153.0   62.0  444.0
2011  98  4  8 1500  -40.0  990.1    2.1  189.0   64.2  444.0
2011  98  4  8 1600  -38.6  989.3    1.5  218.0   65.0  444.0
2011  98  4  8 1700  -39.4  988.5    2.8  209.0   64.0  444.0
2011  98  4  8 1800  -39.7  987.2    2.2  226.0   64.0  444.0
2011  98  4  8 1900  -38.3  986.6    4.7  216.0   66.0  444.0
2011  98  4  8 2000  -31.6  985.1    9.8  214.0   72.5  444.0
2011  98  4  8 2100  -31.2  984.8   10.2  221.0   74.0  444.0
2011  98  4  8 2200  -28.6  983.5   15.1  205.0   75.0  444.0
2011  98  4  8 2300  -29.8  983.2   17.7  197.0   74.0  444.0
2011  99  4  9 0000  -29.7  983.3   17.2  199.0   74.0  444.0
2011  99  4  9 0100  -30.3  981.7   17.2  202.0   73.0  444.0
2011  99  4  9 0200  -31.3  980.7   18.9  204.0   72.0  444.0
2011  99  4  9 0300  -32.6  980.5   17.3  205.0   71.1  444.0
2011  99  4  9 0400  -32.5  979.8   17.4  201.0   71.0  444.0
2011  99  4  9 0500  -31.5  978.5   18.3  207.0   72.5  444.0
2011  99  4  9 0600  -30.9  977.1   18.7  204.0   73.0  444.0
2011  99  4  9 0700  -30.1  975.7   19.0  203.0   74.0  444.0
2011  99  4  9 0800  -29.4  974.2   20.5  206.0   74.5  444.0
2011  99  4  9 0900  -28.7  972.6   19.9  210.0   75.0  444.0
2011  99  4  9 1000  -28.2  971.9   18.8  213.0   76.0  444.0
2011  99  4  9 1100  -27.5  970.2   19.3  214.0   77.0  444.0
2011  99  4  9 1200  -27.3  968.4   19.2  217.0   77.0  444.0
2011  99  4  9 1300  -26.8  967.5   20.4  215.0   76.8  444.0
2011  99  4  9 1400  -27.7  967.0   16.3  220.0   76.0  444.0
2011  99  4  9 1500  -27.3  965.8   13.5  225.0   76.0  444.0
2011  99  4  9 1600  -27.7  964.7   14.8  216.0   76.0  444.0
2011  99  4  9 1700  -26.7  963.8   12.2  228.0   78.0  444.0
2011  99  4  9 1800  -23.8  962.4   11.2  236.0   80.6  444.0
2011  99  4  9 1900  -22.4  961.3   11.8  235.0   82.0  444.0
2011  99  4  9 2000  -21.1  960.3   13.4  231.0   83.0  444.0
2011  99  4  9 2100  -20.3  959.4   11.9  238.0   84.0  444.0
2011  99  4  9 2200  -19.1  958.7   12.7  242.0   85.0  444.0
2011  99  4  9 2300  -18.2  957.3   12.7  216.0   86.0  444.0
2011 100  4 10 0000  -17.5  956.2   12.2  253.0   87.0  444.0
2011 100  4 10 0100  -16.6  955.3   12.1  257.0   87.0  444.0
2011 100  4 10 0200  -16.0  955.4   11.2  261.0   92.0  444.0
2011 100  4 10 0300  -15.6  954.8   10.4  262.0   88.0  444.0
2011 100  4 10 0400  -15.2  954.0   10.5  263.0   89.0  444.0
2011 100  4 10 0500  -14.7  953.6   10.0  265.0   89.0  444.0
2011 100  4 10 0600  -14.3  953.2    9.6  270.0   89.6  444.0
2011 100  4 10 0700  -14.0  953.2   10.2  258.0   90.0  444.0
2011 100  4 10 0800  -13.6  953.6   10.3  269.0   90.0  444.0
2011 100  4 10 0900  -13.3  953.2    9.5  274.0   91.0  444.0
2011 100  4 10 1000  -13.0  953.6    8.6  282.0   90.9  444.0
2011 100  4 10 1100  -15.3  954.2    7.0  310.0   90.8  444.0
2011 100  4 10 1200  -16.8  954.2   11.8  317.0   88.0  444.0
2011 100  4 10 1300  -17.2  955.0   11.8  318.0   87.0  444.0
2011 100  4 10 1400  -18.4  955.5   14.1  325.0   86.0  444.0
2011 100  4 10 1500  -19.1  956.8   11.7  320.0   85.6  444.0
2011 100  4 10 1600  -19.4  958.2   12.1  323.0   85.4  444.0
2011 100  4 10 1700  -18.7  960.9    3.4  230.0   86.0  444.0
2011 100  4 10 1800  -19.6  962.1    3.3  203.0   85.0  444.0
2011 100  4 10 1900  -20.1  963.2    0.0    0.0   85.0  444.0
2011 100  4 10 2000  -20.8  964.1    2.3  325.0   83.0  444.0
2011 100  4 10 2100  -21.4  964.3    3.4  360.0   85.7  444.0
2011 100  4 10 2200  -24.8  964.9    4.4  344.0   80.0  444.0
2011 100  4 10 2300  -25.2  965.4    5.1  354.0   80.8  444.0
2011 101  4 11 0000  -22.3  965.1    9.8  353.0   82.0  444.0
2011 101  4 11 0100  -22.9  964.6   11.0  358.0   82.4  444.0
2011 101  4 11 0200  -22.4  965.3   13.4  360.0   82.0  444.0
2011 101  4 11 0300  -23.1  965.5   11.5    4.0   82.0  444.0
2011 101  4 11 0400  -23.0  965.9   11.3    6.0   82.0  444.0
2011 101  4 11 0500  -23.0  966.8   11.3    9.0   82.0  444.0
2011 101  4 11 0600  -23.1  967.6   11.0    9.0   82.0  444.0
2011 101  4 11 0700  -23.2  969.2    9.2    2.0   82.0  444.0
