Year: 2011  Month: 08  ID: FSB  ARGOS:  8920  Name: Fossil Bluff        
Lat: 71.34S  Lon:  68.29W  Elev:   63m
2011 218  8  6 2200   -2.5  996.6    8.8  331.0   96.9  444.0
2011 218  8  6 2300   -1.2  996.5    8.9  313.0   87.3  444.0
2011 219  8  7 0000  444.0  444.0  444.0  444.0  444.0  444.0
2011 219  8  7 0100   -2.1  997.2    6.9  312.0   65.9  444.0
2011 219  8  7 0200   -3.7  996.9    8.9  324.0   77.4  444.0
2011 219  8  7 0300   -4.2  995.3   12.8  321.0   83.1  444.0
2011 219  8  7 0400   -3.9  995.7   10.0  320.0   82.8  444.0
2011 219  8  7 0500  444.0  444.0  444.0  444.0  444.0  444.0
2011 219  8  7 0600   -2.9  996.7    5.6  311.0   80.5  444.0
2011 219  8  7 0700   -2.4  996.7    5.7  328.0   79.1  444.0
2011 219  8  7 0800   -1.3  997.1    6.6  314.0   76.7  444.0
2011 219  8  7 0900   -0.5  997.7    5.2  324.0   72.0  444.0
2011 219  8  7 1000  444.0  444.0  444.0  444.0  444.0  444.0
2011 219  8  7 1100   -3.7  997.9    3.0  191.0   82.5  444.0
2011 219  8  7 1200   -1.7  997.9    2.4  323.0   70.3  444.0
2011 219  8  7 1300    0.0  998.2    4.7  300.0   64.5  444.0
2011 219  8  7 1400   -1.1  998.7    4.7  318.0   73.1  444.0
2011 219  8  7 1500   -1.3  998.6    7.9  327.0   76.0  444.0
2011 219  8  7 1600  444.0  444.0  444.0  444.0  444.0  444.0
2011 219  8  7 1700   -1.5  998.5    7.8  316.0   79.2  444.0
2011 219  8  7 1800   -1.8  999.0    8.1  316.0   81.3  444.0
2011 219  8  7 1900  444.0  444.0  444.0  444.0  444.0  444.0
2011 219  8  7 2000   -1.8  999.4   10.6  324.0   76.1  444.0
2011 219  8  7 2100  444.0  444.0  444.0  444.0  444.0  444.0
2011 219  8  7 2200   -2.4  999.1    5.9  321.0   75.7  444.0
2011 219  8  7 2300   -3.0  997.0   11.0  335.0   78.7  444.0
2011 220  8  8 0000   -2.7  997.0    9.8  344.0   77.1  444.0
2011 220  8  8 0100   -3.1  997.0    9.4  337.0   80.1  444.0
2011 220  8  8 0200   -2.4  997.2   11.0  331.0   76.9  444.0
2011 220  8  8 0300   -2.6  999.2    3.9  353.0   76.5  444.0
2011 220  8  8 0400   -2.6  999.1    8.5  322.0   82.8  444.0
2011 220  8  8 0500   -2.2  999.4    6.7  336.0   77.4  444.0
2011 220  8  8 0600   -2.7  999.8    5.8  342.0   81.2  444.0
2011 220  8  8 0700  444.0  444.0  444.0  444.0  444.0  444.0
2011 220  8  8 0800   -1.2 1000.8    7.7  328.0   77.0  444.0
2011 220  8  8 0900   -1.3 1001.3    5.4  358.0   80.9  444.0
2011 220  8  8 1000   -0.6 1001.7    3.7  355.0   76.3  444.0
2011 220  8  8 1100   -1.0 1001.5    2.7   66.0   78.6  444.0
2011 220  8  8 1200  444.0  444.0  444.0  444.0  444.0  444.0
2011 220  8  8 1300   -1.6 1001.6    0.7  294.0   82.4  444.0
2011 220  8  8 1400   -0.9 1001.9    1.3  330.0   81.9  444.0
2011 220  8  8 1500   -1.0 1002.2    2.3  328.0   81.9  444.0
2011 220  8  8 1600  444.0  444.0  444.0  444.0  444.0  444.0
2011 220  8  8 1700  444.0  444.0  444.0  444.0  444.0  444.0
2011 220  8  8 1800    0.3 1002.2    1.9  341.0   79.0  444.0
2011 220  8  8 1900  444.0  444.0  444.0  444.0  444.0  444.0
2011 220  8  8 2000    0.8 1002.1    2.6  265.0   76.2  444.0
2011 220  8  8 2100    0.1 1002.6    2.0  220.0  444.0  444.0
2011 220  8  8 2200  444.0  444.0  444.0  444.0  444.0  444.0
2011 220  8  8 2300    2.3 1002.6    7.6  349.0   66.9  444.0
2011 221  8  9 0000  444.0  444.0  444.0  444.0  444.0  444.0
2011 221  8  9 0100   -0.2 1003.8    1.5  246.0   94.2  444.0
2011 221  8  9 0200   -0.1 1003.9    3.1  360.0   87.9  444.0
2011 221  8  9 0300    0.3 1004.2    3.0   38.0   86.6  444.0
2011 221  8  9 0400   -0.1 1004.5    1.4  271.0   88.9  444.0
2011 221  8  9 0500  444.0  444.0  444.0  444.0  444.0  444.0
2011 221  8  9 0600    0.0 1004.5    2.9  208.0   82.4  444.0
2011 221  8  9 0700    1.6 1004.2    6.0   19.0   69.7  444.0
2011 221  8  9 0800    1.9 1003.7   10.3  329.0   66.7  444.0
2011 221  8  9 0900    1.9 1004.0    7.7  329.0   63.1  444.0
2011 221  8  9 1000  444.0  444.0  444.0  444.0  444.0  444.0
2011 221  8  9 1100    2.3 1003.9    6.0  301.0   57.4  444.0
2011 221  8  9 1200    0.7 1003.4    6.1  346.0   67.3  444.0
2011 221  8  9 1300   -0.5 1003.4    2.9   19.0   73.5  444.0
2011 221  8  9 1400   -1.3 1003.2    2.1    3.0   78.1  444.0
2011 221  8  9 1500  444.0  444.0  444.0  444.0  444.0  444.0
2011 221  8  9 1600   -3.7 1002.7    4.7  173.0   87.0  444.0
2011 221  8  9 1700  444.0  444.0  444.0  444.0  444.0  444.0
2011 221  8  9 1800   -4.6 1001.2    4.1  333.0   87.7  444.0
2011 221  8  9 1900   -4.7 1001.6    0.6  154.0   88.2  444.0
2011 221  8  9 2000   -4.4 1000.7    6.9  173.0   88.9  444.0
2011 221  8  9 2100   -5.4  999.9    1.9  182.0   90.5  444.0
2011 221  8  9 2200  444.0  444.0  444.0  444.0  444.0  444.0
2011 221  8  9 2300   -7.2  998.4    0.7  309.0   97.1  444.0
2011 222  8 10 0000   -7.6  996.7    2.1  122.0   90.9  444.0
2011 222  8 10 0100   -9.2  996.0    3.9  165.0   90.5  444.0
2011 222  8 10 0200  -10.1  994.7    5.1  162.0   91.3  444.0
2011 222  8 10 0300  444.0  444.0  444.0  444.0  444.0  444.0
2011 222  8 10 0400   -9.0  993.4    3.3  158.0   89.5  444.0
2011 222  8 10 0500   -8.3  992.1    2.5  316.0   87.3  444.0
2011 222  8 10 0600   -8.4  991.6    1.4  200.0   92.0  444.0
2011 222  8 10 0700   -9.0  990.4    2.2  187.0   93.2  444.0
2011 222  8 10 0800  444.0  444.0  444.0  444.0  444.0  444.0
2011 222  8 10 0900   -8.0  988.3    2.6  235.0   90.8  444.0
2011 222  8 10 1000   -7.1  987.0    1.8  245.0   82.2  444.0
2011 222  8 10 1100   -8.2  985.7    1.9  194.0   88.7  444.0
2011 222  8 10 1200   -8.2  984.3  444.0  444.0  444.0  444.0
2011 222  8 10 1300  444.0  444.0  444.0  444.0  444.0  444.0
2011 222  8 10 1400   -9.0  982.4    2.7  169.0   94.4  444.0
2011 222  8 10 1500  444.0  444.0  444.0  444.0  444.0  444.0
2011 222  8 10 1600   -8.4  980.1    1.8  158.0   86.8  444.0
2011 222  8 10 1700   -4.9  978.1    5.9  302.0   70.3  444.0
2011 222  8 10 1800   -3.5  976.7    8.3  319.0   58.4  444.0
2011 222  8 10 1900  444.0  444.0  444.0  444.0  444.0  444.0
2011 222  8 10 2000  444.0  444.0  444.0  444.0  444.0  444.0
2011 222  8 10 2100   -6.7  974.6    8.1  315.0   69.2  444.0
2011 222  8 10 2200  -12.6  974.9   12.7  193.0   83.0  444.0
2011 222  8 10 2300  -13.8  974.8    9.7  216.0   79.0  444.0
2011 223  8 11 0000  -17.0  975.4   12.4  198.0   78.0  444.0
2011 223  8 11 0100  444.0  444.0  444.0  444.0  444.0  444.0
2011 223  8 11 0200  -18.8  975.5    7.4  213.0   76.8  444.0
2011 223  8 11 0300  -18.9  975.6   10.5  196.0   76.8  444.0
2011 223  8 11 0400  -18.3  976.3    8.3  192.0   80.6  444.0
