Year: 2013  Month: 09  ID: HUG  ARGOS:  8935  Name: Hugo Island         
Lat: 64.96S  Lon:  64.67W  Elev:   25m
2013 250  9  7 1000   -8.6  986.2  444.0  444.0   79.0  444.0
2013 250  9  7 1100   -8.8  986.5  444.0  444.0   71.0  444.0
2013 250  9  7 1200   -7.9  986.7  444.0  444.0   83.0  444.0
2013 250  9  7 1300   -7.9  986.5  444.0  444.0   84.4  444.0
2013 250  9  7 1400   -6.8  986.2  444.0  444.0   86.0  444.0
2013 250  9  7 1500   -5.8  986.3  444.0  444.0   86.0  444.0
2013 250  9  7 1600   -4.9  986.3  444.0  444.0   80.0  444.0
2013 250  9  7 1700   -4.8  986.2  444.0  444.0   80.0  444.0
2013 250  9  7 1800   -5.0  986.2  444.0  444.0   84.0  444.0
2013 250  9  7 1900   -5.1  985.7  444.0  444.0   85.1  444.0
2013 250  9  7 2000   -5.1  985.0  444.0  444.0   91.0  444.0
2013 250  9  7 2100   -5.8  984.8  444.0  444.0   92.0  444.0
2013 250  9  7 2200   -5.9  984.0  444.0  444.0   91.0  444.0
2013 250  9  7 2300   -6.3  983.3  444.0  444.0   90.0  444.0
2013 251  9  8 0000   -6.3  982.5  444.0  444.0   91.2  444.0
2013 251  9  8 0100   -6.1  981.4  444.0  444.0   91.8  444.0
2013 251  9  8 0200   -5.9  980.2  444.0  444.0   91.0  444.0
2013 251  9  8 0300   -6.2  979.1  444.0  444.0   91.0  444.0
2013 251  9  8 0400   -6.4  978.0  444.0  444.0   91.0  444.0
2013 251  9  8 0500   -6.3  976.5  444.0  444.0   92.3  444.0
2013 251  9  8 0600   -6.0  975.2  444.0  444.0   92.7  444.0
2013 251  9  8 0700   -5.1  973.7  444.0  444.0   94.0  444.0
2013 251  9  8 0800   -4.1  972.0  444.0  444.0   95.0  444.0
2013 251  9  8 0900   -1.7  970.5  444.0  444.0   97.0  444.0
2013 251  9  8 1000   -1.7  969.4  444.0  444.0   96.7  444.0
2013 251  9  8 1100   -1.5  967.9  444.0  444.0   96.8  444.0
2013 251  9  8 1200   -1.5  966.8  444.0  444.0   97.0  444.0
2013 251  9  8 1300   -1.3  965.6  444.0  444.0   96.0  444.0
2013 251  9  8 1400   -1.2  964.7  444.0  444.0   96.0  444.0
2013 251  9  8 1500   -4.3  964.2  444.0  444.0   92.0  444.0
2013 251  9  8 1600   -6.0  964.8  444.0  444.0   87.4  444.0
2013 251  9  8 1700   -6.4  965.3  444.0  444.0   87.0  444.0
2013 251  9  8 1800  -12.2  965.5  444.0  444.0   83.5  444.0
2013 251  9  8 1900  -15.5  966.7  444.0  444.0   81.0  444.0
2013 251  9  8 2000  -18.6  968.1  444.0  444.0   78.1  444.0
2013 251  9  8 2100  -21.2  969.6  444.0  444.0   79.0  444.0
2013 251  9  8 2200  -22.7  971.6  444.0  444.0   79.0  444.0
2013 251  9  8 2300  -23.4  972.0  444.0  444.0   79.1  444.0
2013 252  9  9 0000  -23.8  973.3  444.0  444.0   78.0  444.0
2013 252  9  9 0100  -23.9  973.5  444.0  444.0   78.0  444.0
2013 252  9  9 0200  -23.9  973.8  444.0  444.0   77.9  444.0
2013 252  9  9 0300  -23.0  973.6  444.0  444.0   78.0  444.0
2013 252  9  9 0400  -22.9  974.1  444.0  444.0   73.7  444.0
2013 252  9  9 0500  -23.6  974.5  444.0  444.0   74.0  444.0
2013 252  9  9 0600  -24.1  974.6  444.0  444.0   73.0  444.0
2013 252  9  9 0700  -24.6  974.9  444.0  444.0   71.0  444.0
2013 252  9  9 0800  -24.4  974.6  444.0  444.0   70.0  444.0
2013 252  9  9 0900  -24.4  974.3  444.0  444.0   70.5  444.0
2013 252  9  9 1000  -24.3  974.8  444.0  444.0   71.0  444.0
2013 252  9  9 1100  -23.9  974.9  444.0  444.0   73.0  444.0
2013 252  9  9 1200  -23.9  974.8  444.0  444.0   67.3  444.0
2013 252  9  9 1300  -24.1  974.9  444.0  444.0   70.7  444.0
2013 252  9  9 1400  -24.4  975.3  444.0  444.0   72.8  444.0
2013 252  9  9 1500  -24.8  975.6  444.0  444.0   73.0  444.0
2013 252  9  9 1600  -25.0  976.3  444.0  444.0   69.0  444.0
2013 252  9  9 1700  -25.4  976.4  444.0  444.0   68.1  444.0
2013 252  9  9 1800  -25.4  976.7  444.0  444.0   69.9  444.0
2013 252  9  9 1900  -25.5  977.1  444.0  444.0   69.4  444.0
2013 252  9  9 2000  -25.7  977.6  444.0  444.0   73.0  444.0
2013 252  9  9 2100  -25.9  978.0  444.0  444.0   74.3  444.0
2013 252  9  9 2200  -26.1  978.8  444.0  444.0   73.0  444.0
2013 252  9  9 2300  -25.7  979.6  444.0  444.0   74.0  444.0
2013 253  9 10 0000  -25.6  979.9  444.0  444.0   74.0  444.0
2013 253  9 10 0100  -25.5  980.6  444.0  444.0   75.0  444.0
2013 253  9 10 0200  -25.4  981.1  444.0  444.0   74.2  444.0
2013 253  9 10 0300  -25.7  981.7  444.0  444.0   75.0  444.0
2013 253  9 10 0400  -26.3  982.0  444.0  444.0   74.0  444.0
