Year: 2013  Month: 07  ID: CHA  ARGOS: 28338  Name: Cape Hallett        
Lat: 72.19S  Lon: 170.17E  Elev:    1m
2013 187  7  6 2300  -25.5  996.4    2.0  216.0   77.6  444.0
2013 188  7  7 0000  -24.6  996.0    2.0  223.0   77.6  444.0
2013 188  7  7 0100  -25.0  995.8    2.5  220.0   75.7  444.0
2013 188  7  7 0200  -25.8  995.5    1.7  231.0   76.0  444.0
2013 188  7  7 0300  -26.6  995.4    0.0    0.0   77.0  444.0
2013 188  7  7 0400  -26.0  995.7    0.9  195.0   76.0  444.0
2013 188  7  7 0500  -25.7  995.7    0.5  249.0   75.9  444.0
2013 188  7  7 0600  -25.9  995.7    0.4  252.0   68.0  444.0
2013 188  7  7 0700  -28.4  996.0    2.0  246.0   73.0  444.0
2013 188  7  7 0800  -27.6  996.3    0.5  137.0   74.0  444.0
2013 188  7  7 0900  -25.1  996.5    0.0    0.0   72.6  444.0
2013 188  7  7 1000  -25.9  996.5    0.4  275.0   72.0  444.0
2013 188  7  7 1100  -26.5  996.5    1.0  224.0   74.0  444.0
2013 188  7  7 1200  -25.8  996.6    1.2  222.0   73.7  444.0
2013 188  7  7 1300  -25.2  996.7    0.8  226.0   74.0  444.0
2013 188  7  7 1400  -24.8  996.8    0.8  250.0   73.0  444.0
2013 188  7  7 1500  -25.0  997.0    0.6  241.0   69.0  444.0
2013 188  7  7 1600  -23.2  997.0    1.2  217.0   73.0  444.0
2013 188  7  7 1700  -22.0  997.4    0.8  245.0   65.5  444.0
2013 188  7  7 1800  -22.4  997.3    1.3  185.0   59.0  444.0
2013 188  7  7 1900  -22.9  997.3    0.1  233.0   62.0  444.0
2013 188  7  7 2000  -21.4  998.0    1.8  154.0   61.0  444.0
2013 188  7  7 2100  -20.9  997.9    2.6  242.0   54.7  444.0
2013 188  7  7 2200  -21.2  998.1    1.5  181.0   56.0  444.0
2013 188  7  7 2300  -21.1  997.7    6.3  136.0   64.4  444.0
2013 189  7  8 0000  -20.9  997.1    2.4  136.0   64.0  444.0
2013 189  7  8 0100  -21.7  996.7    1.1   83.0   61.0  444.0
