Year: 2016  Month: 08  ID: CBD  ARGOS: 99504  Name: Cape Bird           
Lat: 77.22S  Lon: 166.44E  Elev:   38m
2016 219  8  6 2200  -33.9 1007.3  444.0  444.0   53.5  444.0
2016 219  8  6 2300  -34.0 1007.3  444.0  444.0   55.1  444.0
2016 220  8  7 0000  -35.5 1007.4  444.0  444.0   56.6  444.0
2016 220  8  7 0100  -34.9 1006.8  444.0  444.0   54.5  444.0
2016 220  8  7 0200  -34.9 1006.7  444.0  444.0   58.1  444.0
2016 220  8  7 0300  -33.3 1006.4  444.0  444.0   52.7  444.0
2016 220  8  7 0400  -33.5 1006.2  444.0  444.0   53.5  444.0
2016 220  8  7 0500  -33.0 1006.2  444.0  444.0   51.6  444.0
2016 220  8  7 0600  -32.4 1006.0  444.0  444.0   51.4  444.0
2016 220  8  7 0700  -33.1 1005.7  444.0  444.0   57.0  444.0
2016 220  8  7 0800  -33.8 1005.3  444.0  444.0   60.6  444.0
2016 220  8  7 0900  -33.4 1005.0  444.0  444.0   60.3  444.0
2016 220  8  7 1000  -35.0 1005.1  444.0  444.0   61.2  444.0
2016 220  8  7 1100  -33.7 1004.5  444.0  444.0   59.5  444.0
2016 220  8  7 1200  -34.8 1004.3  444.0  444.0   63.5  444.0
2016 220  8  7 1300  -35.1 1004.0  444.0  444.0   66.1  444.0
2016 220  8  7 1400  -35.9 1003.8  444.0  444.0   67.2  444.0
2016 220  8  7 1500  -35.0 1003.7  444.0  444.0   65.4  444.0
2016 220  8  7 1600  -35.5 1003.5  444.0  444.0   64.8  444.0
2016 220  8  7 1700  -34.6 1003.1  444.0  444.0   64.7  444.0
2016 220  8  7 1800  -34.1 1002.8  444.0  444.0   61.1  444.0
2016 220  8  7 1900  -35.3 1002.4  444.0  444.0   60.6  444.0
2016 220  8  7 2000  -35.2 1002.0  444.0  444.0   61.8  444.0
2016 220  8  7 2100  -35.8 1001.6  444.0  444.0   64.8  444.0
2016 220  8  7 2200  -34.3 1001.3  444.0  444.0   61.0  444.0
2016 220  8  7 2300  -36.3 1001.2  444.0  444.0   61.4  444.0
2016 221  8  8 0000  -36.2 1000.7  444.0  444.0   63.6  444.0
2016 221  8  8 0100  -35.1 1000.0  444.0  444.0   64.2  444.0
2016 221  8  8 0200  -36.5  999.5  444.0  444.0   65.2  444.0
2016 221  8  8 0300  -34.5  998.8  444.0  444.0   60.4  444.0
2016 221  8  8 0400  -33.1  997.8  444.0  444.0   59.2  444.0
