Year: 2016  Month: 11  ID: PGN  ARGOS:  9508  Name: PEGASUS NORTH       
Lat: 77.96S  Lon: 166.51E  Elev:    8m
2016 310 11  5 1500  444.0 1001.0    6.7   39.9   81.6  444.0
2016 310 11  5 1600  444.0 1001.5    4.7   26.7   79.1  444.0
2016 310 11  5 1700  444.0 1001.7    6.3   52.4   75.9  444.0
2016 310 11  5 1800  444.0 1002.4    6.5   34.0   77.2  444.0
2016 310 11  5 1900  444.0 1003.0    6.2   38.2   77.3  444.0
2016 310 11  5 2000  444.0 1003.3    5.8   38.8   73.8  444.0
2016 310 11  5 2100  444.0 1003.5    5.6   39.8   74.3  444.0
2016 310 11  5 2200  444.0 1003.9    5.6   29.8   71.8  444.0
2016 310 11  5 2300  444.0 1004.2    4.7   22.6   67.6  444.0
2016 311 11  6 0000  444.0 1004.2    3.2   16.4   57.4  444.0
2016 311 11  6 0100  444.0 1004.5    0.3    1.5   26.4  444.0
2016 311 11  6 0200  444.0 1004.7    0.9  118.8   31.0  444.0
2016 311 11  6 0300  444.0 1004.4    0.3   76.2   35.0  444.0
2016 311 11  6 0400  444.0 1004.3    1.3   76.3   35.5  444.0
2016 311 11  6 0500  444.0 1004.0    0.2  312.6   41.0  444.0
2016 311 11  6 0600  444.0 1003.9    2.4  339.7   54.8  444.0
2016 311 11  6 0700  444.0 1003.5    4.1  319.5   76.2  444.0
2016 311 11  6 0800  444.0 1003.5    3.6  328.9   76.0  444.0
2016 311 11  6 0900  444.0 1003.6    3.6  325.9   77.9  444.0
2016 311 11  6 1000  444.0 1003.3    2.5  305.7   76.8  444.0
2016 311 11  6 1100  444.0 1003.4    2.9  261.7   70.8  444.0
2016 311 11  6 1200  444.0 1003.2    3.1  239.3   74.9  444.0
2016 311 11  6 1300  444.0 1003.1    2.6  122.0   81.1  444.0
2016 311 11  6 1400  444.0 1003.0    1.7  197.2   69.2  444.0
2016 311 11  6 1500  444.0 1002.8    1.8   82.3   64.4  444.0
2016 311 11  6 1600  444.0 1002.8    1.1   35.3   61.9  444.0
2016 311 11  6 1700  444.0 1002.7    0.8  357.4   53.5  444.0
2016 311 11  6 1800  444.0 1002.7    2.4  307.6   56.0  444.0
2016 311 11  6 1900  444.0 1002.7    0.9   21.7   47.5  444.0
2016 311 11  6 2000  444.0 1002.5    0.7    8.4   41.0  444.0
2016 311 11  6 2100  444.0 1002.2    1.8  326.4   51.2  444.0
2016 311 11  6 2200  444.0 1002.4    2.2  311.2   47.1  444.0
2016 311 11  6 2300  444.0 1002.0    1.1  278.8   39.1  444.0
2016 312 11  7 0000  444.0 1002.2    1.1  263.1   39.7  444.0
2016 312 11  7 0100  444.0 1002.4    1.2  229.2   43.0  444.0
2016 312 11  7 0200  444.0 1002.3    1.4  230.5   41.3  444.0
2016 312 11  7 0300  444.0 1002.4    1.6  170.4   37.5  444.0
2016 312 11  7 0400  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 0500  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 0600  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 0700  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 0800  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 0900  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 1000  444.0  444.0  444.0  444.0  444.0  444.0
