gid,sitename,mapcode,latitude,longitude
538,Victoria Valley,New Zealand,-77.19,161.36
655,Virginia,Italy,-74.93416667,163.7322222
628,Vito,UW,-78.408,177.829
668,White Island,UW,-78.076,167.451
325,White Island S,SPAWAR,-78.1241,168.3199
327,White Out,SPAWAR,-77.8478,167.1468
404,Whitlock,UW,-76.142,168.394
539,Whoop Whoop,Australia,-68.4692,78.8342
540,Wilkins Runway - East ICAO,Australia,-66.6831,111.5317
541,Wilkins Runway - West 4m,Australia,-66.6931,111.5039
672,Willie Field,UW,-77.868,166.921
675,Windless Bight,UW,-77.728,167.676
590,Windy,United Kingdom,-75.55297,-27.44679
542,Zoraida,Italy,-74.25,163.17
,Bonney ,Other US,-77.7144,162.4642
,Brownworth,Other US,-77.4335,162.7036
,Canada Glacier,Other US,-77.6127,162.9635
,Commonwealth Glacier,Other US,-77.5637,163.2801
,Explorers Cove,Other US,-77.5887,163.4175
,Mt Fleming,Other US,-77.5326,160.2711
,Fryxell,Other US,-77.6109,163.1696
,Friis,Other US,-77.7474,161.5162
,Howard,Other US,-77.6715,163.0791
,Miers,Other US,-78.101133,163.78765
,Taylor Glacier,Other US,-77.7402,162.1284
,Vanda,Other US,-77.52567,161.69129
,Vida,Other US,-77.3778,161.8006
