gid,sitename,mapcode,latitude,longitude,Website
265,Possession Island,UW,-71.891,171.21,https://amrc.ssec.wisc.edu/
441,Sabrina,UW,-84.24662964,-170.0681982,https://amrc.ssec.wisc.edu/
671,Schwerdtfeger,UW,-79.816,170.358,https://amrc.ssec.wisc.edu/
640,Siple Dome,UW,-81.652,-148.992,https://amrc.ssec.wisc.edu/
639,Theresa,UW,-84.602,-115.841,https://amrc.ssec.wisc.edu/
634,Thurston Island,UW,-72.532,-97.545,https://amrc.ssec.wisc.edu/
628,Vito,UW,-78.408,177.829,https://amrc.ssec.wisc.edu/
668,White Island,UW,-78.076,167.451,https://amrc.ssec.wisc.edu/
404,Whitlock,UW,-76.142,168.394,https://amrc.ssec.wisc.edu/
672,Willie Field,UW,-77.868,166.921,https://amrc.ssec.wisc.edu/
675,Windless Bight,UW,-77.728,167.676,https://amrc.ssec.wisc.edu/
389,Cape Denison,UW/Australia,-67.009,142.664,https://amrc.ssec.wisc.edu/
240,PANDA-South,UW/China,-82.325,75.989,https://amrc.ssec.wisc.edu/
678,D-10,UW/France,-66.705,139.841,https://amrc.ssec.wisc.edu/
681,D-47,UW/France,-67.385,138.729,https://amrc.ssec.wisc.edu/
677,D-85,UW/France,-70.426,134.149,https://amrc.ssec.wisc.edu/
619,Dome C II,UW/France,-75.106,123.346,https://amrc.ssec.wisc.edu/
648,Port Martin,UW/France,-66.82,141.39,https://amrc.ssec.wisc.edu/
349,Dome F (Fuji),UW/Japan,-77.31,39.7,https://amrc.ssec.wisc.edu/
132,JASE2007,UW/Japan,-75.888,25.834,https://amrc.ssec.wisc.edu/
218,Mizuho,UW/Japan,-70.7,44.29,https://amrc.ssec.wisc.edu/
376,Relay Station,UW/Japan,-74.017,43.062,https://amrc.ssec.wisc.edu/
584,Baldrick,UW/UK,-82.774,-13.054,https://amrc.ssec.wisc.edu/
576,Dismal Island,UW/UK,-68.087,-68.825,https://amrc.ssec.wisc.edu/
