Year: 2002  Month: 08  ID: CSP  ARGOS:  8695  Name: Cape Spencer        
Lat: 77.96S  Lon: 167.54E  Elev:   23m
2002 218  8  6 0100  -34.5  982.0    0.4  267.0   74.6  444.0
2002 218  8  6 0200  -33.9  981.7    0.6  257.0   75.4  444.0
2002 218  8  6 0300  -34.1  981.8    0.6  256.0   75.4  444.0
2002 218  8  6 0400  -37.4  981.8    0.2  259.0   71.2  444.0
2002 218  8  6 0500  -34.4  981.6    0.2  233.0   74.6  444.0
2002 218  8  6 0600  -35.8  981.7    0.2  228.0   73.3  444.0
2002 218  8  6 0700  -35.5  982.2    0.2  253.0   73.3  444.0
2002 218  8  6 0800  -36.8  983.3    0.2  205.0   71.7  444.0
2002 218  8  6 0900  -38.9  984.0    0.2  277.0   67.9  444.0
2002 218  8  6 1000  -34.1  985.2    0.2  158.0   74.2  444.0
2002 218  8  6 1100  -39.8  986.1    0.2  148.0   68.7  444.0
2002 218  8  6 1200  -35.8  987.5    0.2   18.0   73.3  444.0
2002 218  8  6 1300  -37.4  988.6    0.2  125.0   72.1  444.0
2002 218  8  6 1400  -39.4  989.7    0.2  356.0   68.3  444.0
2002 218  8  6 1500  -39.8  991.0    0.2   70.0   68.7  444.0
2002 218  8  6 1600  -37.1  992.6    0.2  100.0   71.2  444.0
2002 218  8  6 1700  -37.6  994.0    0.2  100.0   70.8  444.0
2002 218  8  6 1800  -38.4  995.0    0.2   98.0   68.7  444.0
2002 218  8  6 1900  -41.1  996.1    0.2   48.0   66.2  444.0
2002 218  8  6 2000  -42.6  997.1    0.2   42.0   64.9  444.0
2002 218  8  6 2100  -44.8  997.8    0.2   10.0   62.4  444.0
2002 218  8  6 2200  -43.5  998.8    0.2   30.0   64.1  444.0
2002 218  8  6 2300  -43.6  999.6    0.2   24.0   63.7  444.0
2002 219  8  7 0000  -43.0  999.9    0.2   22.0   64.1  444.0
2002 219  8  7 0100  -42.6 1000.4    0.2    4.0   64.5  444.0
2002 219  8  7 0200  -42.4 1000.8    0.2   15.0   64.5  444.0
2002 219  8  7 0300  -43.2 1001.2    0.2  297.0   64.1  444.0
2002 219  8  7 0400  -42.5 1002.2    0.2   68.0   64.5  444.0
2002 219  8  7 0500  -41.2 1002.9    0.2  195.0   64.1  444.0
2002 219  8  7 0600  -43.0 1003.9    0.2  332.0   63.7  444.0
2002 219  8  7 0700  -32.0 1003.5    0.2  170.0   76.3  444.0
2002 219  8  7 0800  -33.0 1004.2    0.8  243.0   75.9  444.0
2002 219  8  7 0900  -38.9 1005.8    0.2   72.0   68.7  444.0
2002 219  8  7 1000  -39.8 1006.0    0.2   22.0   67.9  444.0
2002 219  8  7 1100  -33.9 1005.9   12.9  181.0   75.0  444.0
2002 219  8  7 1200  -33.1 1005.6   10.3  211.0   75.9  444.0
2002 219  8  7 1300  -32.0 1005.2    8.8  222.0   77.1  444.0
2002 219  8  7 1400  -32.6 1005.1   11.3  236.0   75.9  444.0
2002 219  8  7 1500  -36.4 1006.0    2.7  291.0   70.8  444.0
2002 219  8  7 1600  -38.9 1005.8    3.5  311.0   68.7  444.0
2002 219  8  7 1700  -37.6 1005.8    5.1  264.0   71.2  444.0
2002 219  8  7 1800  -35.8 1005.5    2.9  248.0   72.5  444.0
2002 219  8  7 1900  -35.6 1005.9    1.8  201.0   72.9  444.0
2002 219  8  7 2000  444.0  444.0  444.0  444.0  444.0  444.0
2002 219  8  7 2100  -37.5 1005.9    3.9  217.0   70.4  444.0
2002 219  8  7 2200  -37.8 1005.5    3.9  225.0   70.4  444.0
2002 219  8  7 2300  -38.9 1005.0    4.9  231.0   69.6  444.0
2002 220  8  8 0000  -37.4 1004.5    3.9  211.0   70.8  444.0
2002 220  8  8 0100  -37.8 1004.2    1.4  326.0   70.4  444.0
2002 220  8  8 0200  -40.6 1003.4    3.1  255.0   67.0  444.0
2002 220  8  8 0300  -39.2 1002.6    5.3  253.0   68.3  444.0
2002 220  8  8 0400  -40.4 1002.3    2.1  285.0   67.0  444.0
2002 220  8  8 0500  -40.5 1002.1    0.2  271.0   67.0  444.0
2002 220  8  8 0600  -39.8 1001.6    1.6  240.0   68.3  444.0
2002 220  8  8 0700  -38.8 1001.1    3.3  228.0   69.1  444.0
2002 220  8  8 0800  -38.8 1000.3    4.9  232.0   69.1  444.0
2002 220  8  8 0900  -38.8 1000.0    3.3  259.0   69.1  444.0
2002 220  8  8 1000  -37.8  999.4    2.3  277.0   70.4  444.0
2002 220  8  8 1100  -38.6  998.7    1.2  294.0   68.7  444.0
2002 220  8  8 1200  -37.5  998.4    2.1  288.0   70.8  444.0
2002 220  8  8 1300  -37.8  998.4    3.9  243.0   70.0  444.0
2002 220  8  8 1400  -37.5  998.3    2.1  260.0   70.8  444.0
2002 220  8  8 1500  -37.8  998.1    3.3  229.0   70.4  444.0
2002 220  8  8 1600  -37.5  997.8    4.1  233.0   70.4  444.0
2002 220  8  8 1700  -36.4  997.3    4.3  212.0   72.1  444.0
2002 220  8  8 1800  -35.6  996.9    4.9  246.0   72.9  444.0
2002 220  8  8 1900  -36.1  996.5    2.9  231.0   72.9  444.0
2002 220  8  8 2000  -38.6  996.5    4.3  259.0   68.7  444.0
2002 220  8  8 2100  -38.8  996.2    4.5  256.0   69.6  444.0
2002 220  8  8 2200  -39.2  995.9    3.5  245.0   68.7  444.0
2002 220  8  8 2300  -39.1  995.2    4.9  235.0   68.3  444.0
2002 221  8  9 0000  -39.1  994.9    1.8  284.0   69.1  444.0
2002 221  8  9 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002 221  8  9 0200  -40.4  993.5    2.1  165.0   67.0  444.0
2002 221  8  9 0300  -41.5  993.0    5.8  121.0   65.4  444.0
2002 221  8  9 0400  -44.2  992.8    4.3  111.0   62.8  444.0
2002 221  8  9 0500  -46.9  991.9    3.3  124.0   59.5  444.0
2002 221  8  9 0600  444.0  444.0  444.0  444.0  444.0  444.0
2002 221  8  9 0700  -45.6  991.3    2.5  122.0   60.3  444.0
2002 221  8  9 0800  -44.6  990.5    2.5   87.0   61.6  444.0
2002 221  8  9 0900  -43.2  989.8    2.7  125.0   63.3  444.0
2002 221  8  9 1000  -44.2  989.1    4.5  112.0   62.8  444.0
2002 221  8  9 1100  444.0  444.0  444.0  444.0  444.0  444.0
2002 221  8  9 1200  -42.1  987.3    3.5  118.0   64.9  444.0
2002 221  8  9 1300  -43.0  986.8    4.3  115.0   63.7  444.0
2002 221  8  9 1400  -43.2  986.1    4.5  112.0   63.3  444.0
2002 221  8  9 1500  -44.5  985.9    2.9  111.0   61.6  444.0
2002 221  8  9 1600  444.0  444.0  444.0  444.0  444.0  444.0
2002 221  8  9 1700  -44.6  984.9    4.1  117.0   61.6  444.0
2002 221  8  9 1800  -43.6  984.3    3.3  115.0   62.8  444.0
2002 221  8  9 1900  -43.5  984.1    3.3  124.0   62.8  444.0
2002 221  8  9 2000  -45.6  983.8    2.9  135.0   60.3  444.0
2002 221  8  9 2100  -44.8  983.6    3.7  132.0   61.2  444.0
2002 221  8  9 2200  -45.4  983.0    4.5  112.0   61.2  444.0
2002 221  8  9 2300  -46.9  983.7    0.8  135.0   58.6  444.0
2002 222  8 10 0000  -47.4  983.2    6.8  122.0   58.2  444.0
2002 222  8 10 0100  -46.9  983.6    7.4  134.0   59.1  444.0
2002 222  8 10 0200  -45.1  983.7    9.4  145.0   60.7  444.0
2002 222  8 10 0300  -42.9  984.7    9.2  132.0   63.7  444.0
2002 222  8 10 0400  444.0  444.0  444.0  444.0  444.0  444.0
2002 222  8 10 0500  -41.9  986.2    8.8  135.0   64.5  444.0
2002 222  8 10 0600  -40.9  986.5    8.6  131.0   65.8  444.0
2002 222  8 10 0700  -42.8  987.1    2.9  181.0   63.7  444.0
2002 222  8 10 0800  -44.6  987.5    2.7    6.0   62.0  444.0
2002 222  8 10 0900  444.0  444.0  444.0  444.0  444.0  444.0
2002 222  8 10 1000  -47.2  986.6    2.3  312.0   58.2  444.0
2002 222  8 10 1100  -48.2  986.0    2.7  233.0   57.4  444.0
