Year: 2002  Month: 04  ID: HRB  ARGOS:  8697  Name: Herbie Alley        
Lat: 78.10S  Lon: 166.68E  Elev:   30m
2002 101  4 11 0100  -29.6  982.7    2.9  125.0   83.5  444.0
2002 101  4 11 0200  -29.6  983.0    1.0  233.0   82.6  444.0
2002 101  4 11 0300  -30.0  983.7    3.3  188.0   83.0  444.0
2002 101  4 11 0400  -29.8  984.2    1.6  197.0   82.6  444.0
2002 101  4 11 0500  -37.8  984.9    3.5  347.0   72.5  444.0
2002 101  4 11 0600  -38.0  985.5    2.3  345.0   72.5  444.0
2002 101  4 11 0700  -37.8  986.0    0.4  221.0   71.6  444.0
2002 101  4 11 0800  -38.9  986.1    1.6  101.0   70.3  444.0
2002 101  4 11 0900  -37.1  986.0    2.3  156.0   72.0  444.0
2002 101  4 11 1000  -36.8  986.2    1.9   39.0   74.7  444.0
2002 101  4 11 1100  444.0  444.0  444.0  444.0  444.0  444.0
2002 101  4 11 1200  -39.9  987.1    2.9   48.0   69.0  444.0
2002 101  4 11 1300  -40.6  986.8    0.4   25.0   68.1  444.0
2002 101  4 11 1400  -39.8  986.7    1.9  170.0   68.5  444.0
2002 101  4 11 1500  -38.5  986.3    2.5  131.0   69.8  444.0
2002 101  4 11 1600  -36.9  986.2    2.9   39.0   75.1  444.0
2002 101  4 11 1700  -38.0  986.2    1.0  135.0   70.7  444.0
2002 101  4 11 1800  -38.1  985.8    1.8   41.0   72.0  444.0
2002 101  4 11 1900  -38.6  985.7    0.4  240.0   70.3  444.0
2002 101  4 11 2000  -38.8  985.3    1.0   34.0   70.3  444.0
2002 101  4 11 2100  -38.0  985.0    1.4  198.0   70.7  444.0
2002 101  4 11 2200  -37.5  984.7    2.7  224.0   72.0  444.0
2002 101  4 11 2300  -35.1  984.5    0.2  345.0   78.2  444.0
2002 102  4 12 0000  -38.1  984.0    1.6    1.0   71.6  444.0
2002 102  4 12 0100  -38.9  983.7    1.6  339.0   70.7  444.0
2002 102  4 12 0200  -37.0  983.9    0.8  143.0   73.4  444.0
2002 102  4 12 0300  -37.1  983.1    1.4  139.0   72.9  444.0
2002 102  4 12 0400  -37.4  982.9    0.6  169.0   72.0  444.0
2002 102  4 12 0500  -40.8  982.2    2.1  312.0   66.8  444.0
2002 102  4 12 0600  -36.5  981.6    1.9  315.0   74.7  444.0
2002 102  4 12 0700  -37.4  981.4    1.2  329.0   72.9  444.0
2002 102  4 12 0800  -34.6  980.5    1.4  347.0   75.6  444.0
2002 102  4 12 0900  -36.9  980.0    0.8  323.0   73.4  444.0
2002 102  4 12 1000  -33.0  979.3    1.2   84.0   76.4  444.0
2002 102  4 12 1100  -27.5  978.9    1.6  112.0   83.9  444.0
2002 102  4 12 1200  -25.6  978.1    1.0  142.0   86.1  444.0
2002 102  4 12 1300  -25.5  977.7    1.2  186.0   86.6  444.0
2002 102  4 12 1400  -25.6  976.5    1.2  105.0   87.0  444.0
2002 102  4 12 1500  -26.1  976.3    1.0  177.0   86.1  444.0
2002 102  4 12 1600  -25.2  975.8    1.0  160.0   87.4  444.0
2002 102  4 12 1700  -24.6  975.4    1.6  166.0   88.3  444.0
2002 102  4 12 1800  -24.6  974.9    1.0   22.0   88.8  444.0
2002 102  4 12 1900  -24.9  974.3    1.0   48.0   88.8  444.0
2002 102  4 12 2000  -24.5  973.6    1.4   62.0   89.2  444.0
2002 102  4 12 2100  -24.1  973.3    0.8  117.0   89.2  444.0
2002 102  4 12 2200  -24.1  972.8    1.0   49.0   89.6  444.0
2002 102  4 12 2300  -25.2  972.2    0.6   48.0   88.8  444.0
2002 103  4 13 0000  -24.1  972.1    1.0   44.0   90.5  444.0
2002 103  4 13 0100  -24.4  971.5    1.0   59.0   88.8  444.0
2002 103  4 13 0200  -25.2  971.2    1.8    7.0   87.9  444.0
2002 103  4 13 0300  -25.0  971.1    1.9   34.0   89.2  444.0
2002 103  4 13 0400  -24.5  971.0    1.9  347.0   88.8  444.0
2002 103  4 13 0500  -27.6  971.3    0.8  347.0   85.2  444.0
2002 103  4 13 0600  -27.2  971.2    1.2  304.0   85.7  444.0
2002 103  4 13 0700  -26.9  971.2    1.4  253.0   86.1  444.0
2002 103  4 13 0800  -26.4  971.3    0.2  225.0   87.0  444.0
2002 103  4 13 0900  -27.2  971.3    1.2   15.0   85.7  444.0
2002 103  4 13 1000  -29.0  971.8    0.2  347.0   83.5  444.0
2002 103  4 13 1100  -27.5  972.1    1.8  345.0   84.8  444.0
2002 103  4 13 1200  -27.6  972.8    1.4  309.0   85.2  444.0
2002 103  4 13 1300  -26.9  973.2    1.8   14.0   87.0  444.0
2002 103  4 13 1400  -22.0  973.3    1.4  304.0   93.6  444.0
2002 103  4 13 1500  -23.5  974.1    1.8   48.0   91.4  444.0
2002 103  4 13 1600  -17.4  974.4    5.8  135.0   95.4  444.0
2002 103  4 13 1700  -18.0  975.0    4.9  195.0   94.5  444.0
2002 103  4 13 1800  -18.2  975.4    2.5  262.0   94.5  444.0
2002 103  4 13 1900  -17.5  975.8    3.7  201.0   93.6  444.0
2002 103  4 13 2000  -16.0  975.9    1.0  302.0   90.1  444.0
2002 103  4 13 2100  -17.2  976.7    5.3  155.0   95.8  444.0
2002 103  4 13 2200  -16.4  977.4    8.0  210.0   94.0  444.0
2002 103  4 13 2300  -14.2  977.7    2.5  215.0   61.5  444.0
2002 104  4 14 0000  -14.1  978.0    5.1  125.0   65.4  444.0
2002 104  4 14 0100  -15.5  979.1    4.5  255.0   85.7  444.0
2002 104  4 14 0200  -13.9  979.2    3.7  143.0   65.4  444.0
2002 104  4 14 0300  -15.0  979.6    3.9  184.0   75.6  444.0
2002 104  4 14 0400  -18.6  979.7    8.0  139.0   88.8  444.0
