Year: 2002  Month: 09  ID: HRB  ARGOS:  8697  Name: Herbie Alley        
Lat: 78.10S  Lon: 166.68E  Elev:   30m
2002 248  9  5 1300  -26.0  998.7    6.2  170.0   87.4  444.0
2002 248  9  5 1400  -25.0  998.5    8.2  167.0   88.8  444.0
2002 248  9  5 1500  -25.6  999.3    9.8  167.0   87.4  444.0
2002 248  9  5 1600  -24.4  999.3    9.6  167.0   89.6  444.0
2002 248  9  5 1700  -22.8  999.7    1.8  132.0   91.0  444.0
2002 248  9  5 1800  -22.6  999.3    8.2  135.0   91.4  444.0
2002 248  9  5 1900  -23.9 1000.0    6.4  173.0   89.6  444.0
2002 248  9  5 2000  -24.4 1000.4    3.7  197.0   89.6  444.0
2002 248  9  5 2100  -24.0 1000.9    1.8  308.0   90.5  444.0
2002 248  9  5 2200  -24.9 1001.4    3.7  326.0   89.2  444.0
2002 248  9  5 2300  -25.0 1001.6    2.7  274.0   89.2  444.0
2002 249  9  6 0000  -25.2 1001.8    2.7  266.0   89.2  444.0
2002 249  9  6 0100  -25.1 1001.9    1.6    8.0   89.2  444.0
2002 249  9  6 0200  -25.5 1002.0    1.0  245.0   88.8  444.0
2002 249  9  6 0300  -25.0 1002.3    1.8   15.0   88.8  444.0
2002 249  9  6 0400  -25.5 1002.6    1.0  318.0   88.3  444.0
2002 249  9  6 0500  -25.5 1002.6    1.8  347.0   88.3  444.0
2002 249  9  6 0600  -25.8 1002.7    1.2  260.0   87.9  444.0
2002 249  9  6 0700  -25.6 1003.0    0.8   14.0   87.9  444.0
2002 249  9  6 0800  -25.6 1003.6    2.5   18.0   87.9  444.0
2002 249  9  6 0900  -25.6 1004.1    2.7   25.0   87.9  444.0
2002 249  9  6 1000  -25.2 1004.3    0.6  323.0   88.3  444.0
2002 249  9  6 1100  -25.8 1004.5    2.5  222.0   87.9  444.0
2002 249  9  6 1200  -25.9 1004.8    1.8  266.0   87.4  444.0
2002 249  9  6 1300  -25.9 1005.0    3.7  270.0   87.4  444.0
2002 249  9  6 1400  -25.9 1005.2    3.1  262.0   87.4  444.0
2002 249  9  6 1500  -25.9 1005.5    4.7  259.0   87.4  444.0
2002 249  9  6 1600  -25.9 1005.8    3.1  274.0   87.4  444.0
2002 249  9  6 1700  -25.9 1006.0    2.3    8.0   87.4  444.0
2002 249  9  6 1800  -28.2 1006.2    2.3   13.0   84.8  444.0
2002 249  9  6 1900  -26.9 1006.6    3.5   13.0   86.6  444.0
2002 249  9  6 2000  -26.5 1006.8    2.9   20.0   87.0  444.0
2002 249  9  6 2100  -26.2 1007.1    2.3    8.0   87.0  444.0
2002 249  9  6 2200  -26.2 1007.2    1.6  141.0   87.9  444.0
2002 249  9  6 2300  -26.2 1007.6    2.5  224.0   87.4  444.0
2002 250  9  7 0000  -26.2 1007.8    3.3  226.0   87.4  444.0
2002 250  9  7 0100  -26.5 1008.0    3.3  181.0   87.4  444.0
2002 250  9  7 0200  -26.2 1008.4    2.1  184.0   87.4  444.0
2002 250  9  7 0300  -26.2 1008.4    1.2  173.0   87.0  444.0
2002 250  9  7 0400  -25.9 1008.5    0.8  214.0   87.4  444.0
2002 250  9  7 0500  -26.8 1009.1    3.3   22.0   85.2  444.0
2002 250  9  7 0600  -27.0 1009.4    3.1   37.0   84.8  444.0
2002 250  9  7 0700  -27.0 1009.8    2.5   10.0   85.2  444.0
2002 250  9  7 0800  -26.8 1010.1    1.4   21.0   85.7  444.0
2002 250  9  7 0900  -26.4 1010.4    0.2  105.0   86.1  444.0
2002 250  9  7 1000  -26.4 1010.9    0.6    3.0   86.1  444.0
2002 250  9  7 1100  -26.5 1010.8    2.7   30.0   86.1  444.0
2002 250  9  7 1200  -27.2 1011.1    1.2  347.0   85.2  444.0
2002 250  9  7 1300  -27.2 1011.2    2.1   24.0   84.8  444.0
2002 250  9  7 1400  -27.2 1011.4    2.1   45.0   84.8  444.0
2002 250  9  7 1500  -27.6 1011.7    1.6   25.0   83.5  444.0
2002 250  9  7 1600  -28.2 1011.9    1.9  347.0   83.5  444.0
2002 250  9  7 1700  -28.2 1012.1    1.9  179.0   83.5  444.0
2002 250  9  7 1800  -28.8 1012.3    1.4   52.0   83.5  444.0
2002 250  9  7 1900  -28.4 1012.6    1.4   37.0   83.9  444.0
2002 250  9  7 2000  -28.1 1012.8    3.7   30.0   83.9  444.0
2002 250  9  7 2100  -28.4 1012.9    2.3   18.0   83.5  444.0
2002 250  9  7 2200  -28.2 1012.8    1.8   13.0   83.0  444.0
2002 250  9  7 2300  -28.1 1012.6    0.8   53.0   82.2  444.0
2002 251  9  8 0000  -28.8 1012.0    0.6  200.0   81.7  444.0
2002 251  9  8 0100  -29.5 1011.9    1.4   98.0   79.1  444.0
2002 251  9  8 0200  444.0  444.0  444.0  444.0  444.0  444.0
2002 251  9  8 0300  -30.0 1010.9    0.2  114.0   82.2  444.0
2002 251  9  8 0400  -30.2 1010.3    1.2  114.0   82.2  444.0
2002 251  9  8 0500  -31.1 1009.8    0.6  114.0   80.4  444.0
2002 251  9  8 0600  -31.4 1009.7    2.3   58.0   80.8  444.0
2002 251  9  8 0700  -34.0 1009.2    2.1  176.0   76.9  444.0
2002 251  9  8 0800  -32.8 1008.9    2.1   34.0   78.6  444.0
2002 251  9  8 0900  -31.0 1008.6    1.4   76.0   80.4  444.0
2002 251  9  8 1000  -31.4 1008.1    1.6   28.0   80.4  444.0
2002 251  9  8 1100  -31.0 1007.7    2.5   53.0   80.8  444.0
2002 251  9  8 1200  -30.2 1007.0    0.2  347.0   81.7  444.0
2002 251  9  8 1300  -30.2 1006.0    1.4  243.0   81.7  444.0
2002 251  9  8 1400  -30.5 1005.4    1.6   86.0   81.3  444.0
2002 251  9  8 1500  -30.2 1004.4    0.6   89.0   81.7  444.0
2002 251  9  8 1600  -30.2 1003.6    0.2  232.0   81.7  444.0
2002 251  9  8 1700  -29.9 1002.9    1.6  321.0   82.6  444.0
2002 251  9  8 1800  -31.5 1002.2    1.8  283.0   78.6  444.0
2002 251  9  8 1900  -30.9 1001.8    0.2  340.0   80.8  444.0
2002 251  9  8 2000  -28.8 1001.0    1.0  125.0   83.5  444.0
2002 251  9  8 2100  -27.0 1000.8    0.8  124.0   85.7  444.0
2002 251  9  8 2200  -26.8 1000.3    1.4  184.0   86.6  444.0
2002 251  9  8 2300  -26.8  999.8    1.4  170.0   87.0  444.0
2002 252  9  9 0000  -26.4  999.5    1.4  104.0   87.9  444.0
2002 252  9  9 0100  -29.0  999.7    3.7  347.0   83.0  444.0
2002 252  9  9 0200  -29.8  999.5    2.7  347.0   81.3  444.0
2002 252  9  9 0300  -29.1  998.9    2.1  347.0   82.6  444.0
2002 252  9  9 0400  -29.2  998.8    0.6  307.0   82.2  444.0
2002 252  9  9 0500  -29.2  998.3    1.2  278.0   83.0  444.0
2002 252  9  9 0600  -28.5  998.0    2.1  287.0   83.9  444.0
2002 252  9  9 0700  -30.2  998.0    1.8  255.0   81.7  444.0
2002 252  9  9 0800  -31.1  998.0    0.2  194.0   80.8  444.0
2002 252  9  9 0900  -31.1  997.6    1.2  134.0   80.8  444.0
2002 252  9  9 1000  -30.6  997.5    1.0  152.0   80.8  444.0
2002 252  9  9 1100  -30.9  997.4    1.0  235.0   80.8  444.0
2002 252  9  9 1200  -31.4  997.2    0.2   77.0   80.4  444.0
2002 252  9  9 1300  -31.5  997.2    0.8  292.0   80.0  444.0
2002 252  9  9 1400  -33.5  997.4    1.0  186.0   77.3  444.0
2002 252  9  9 1500  -34.6  997.6    1.2  183.0   75.6  444.0
2002 252  9  9 1600  -36.6  997.6    1.2  156.0   73.8  444.0
2002 252  9  9 1700  -37.0  997.8  444.0  444.0   74.2  444.0
2002 252  9  9 1800  -39.8  997.8    1.9   28.0   70.3  444.0
2002 252  9  9 1900  444.0  444.0  444.0  444.0  444.0  444.0
2002 252  9  9 2000  -41.0  997.9    0.2  263.0   67.2  444.0
2002 252  9  9 2100  -37.9  998.4    1.6  114.0   72.5  444.0
2002 252  9  9 2200  -39.5  998.2    1.9   96.0   72.0  444.0
