Year: 2002  Month: 07  ID: KIR  ARGOS:  8930  Name: Kirkwood Island     
Lat: 68.33S  Lon:  69.01W  Elev:   30m
2002 187  7  6 1200  -15.8  997.0    7.6  172.0   84.5  444.0
2002 187  7  6 1300  -15.9  444.0    7.3  184.0   84.2  444.0
2002 187  7  6 1400  444.0  444.0  444.0  444.0  444.0  444.0
2002 187  7  6 1500  -15.3 1000.4    5.2  193.0   85.1  444.0
2002 187  7  6 1600  -14.9  444.0    4.7  180.0   85.1  444.0
2002 187  7  6 1700  -14.8 1002.5    5.7  186.0   85.4  444.0
2002 187  7  6 1800  -14.4  444.0    5.4  193.0   85.7  444.0
2002 187  7  6 1900  444.0  444.0  444.0  444.0  444.0  444.0
2002 187  7  6 2000  -14.6  444.0    7.1  188.0   85.7  444.0
2002 187  7  6 2100  444.0  444.0  444.0  444.0  444.0  444.0
2002 187  7  6 2200  -16.3 1005.9    6.1  151.0   83.2  444.0
2002 187  7  6 2300  -17.4  444.0    3.3  171.0   82.9  444.0
2002 188  7  7 0000  444.0  444.0  444.0  444.0  444.0  444.0
2002 188  7  7 0100  -16.9  444.0    4.2  214.0   82.9  444.0
2002 188  7  7 0200  -15.8  444.0    4.5  200.0   84.5  444.0
2002 188  7  7 0300  -17.1 1007.3    4.3  164.0   83.4  444.0
2002 188  7  7 0400  -16.0  444.0    5.6  193.0   83.8  444.0
2002 188  7  7 0500  -16.5 1008.0    4.8  215.0   83.7  444.0
2002 188  7  7 0600  -16.2  444.0    4.0  185.0   84.0  444.0
2002 188  7  7 0700  444.0  444.0  444.0  444.0  444.0  444.0
2002 188  7  7 0800  -16.3  444.0    3.7  177.0   84.2  444.0
2002 188  7  7 0900  -15.9  444.0    3.6  205.0   84.6  444.0
2002 188  7  7 1000  -16.2 1008.0  444.0  444.0   83.7  444.0
2002 188  7  7 1100  -16.6  444.0    3.4  216.0   83.6  444.0
2002 188  7  7 1200  444.0  444.0  444.0  444.0  444.0  444.0
2002 188  7  7 1300  -19.6 1006.6    2.0  150.0   81.2  444.0
2002 188  7  7 1400  444.0  444.0  444.0  444.0  444.0  444.0
2002 188  7  7 1500  -18.4 1005.9    0.9  126.0   82.2  444.0
2002 188  7  7 1600  -18.9  444.0    0.0    0.0   82.0  444.0
2002 188  7  7 1700  444.0  444.0  444.0  444.0  444.0  444.0
2002 188  7  7 1800  -19.2  444.0    1.8  140.0   80.2  444.0
2002 188  7  7 1900  444.0  444.0  444.0  444.0  444.0  444.0
2002 188  7  7 2000  -21.5 1002.5    1.1   99.0   79.1  444.0
2002 188  7  7 2100  -18.0  444.0    0.4  256.0   82.1  444.0
2002 188  7  7 2200  -17.6 1000.4    0.0    0.0   82.5  444.0
2002 188  7  7 2300  -20.1  444.0    1.0  113.0   79.5  444.0
2002 189  7  8 0000  444.0  444.0  444.0  444.0  444.0  444.0
2002 189  7  8 0100  -19.6  997.0    1.0   63.0   80.8  444.0
2002 189  7  8 0200  -18.0  444.0    1.2   84.0   82.2  444.0
2002 189  7  8 0300  -17.3  994.9    1.5   72.0   82.8  444.0
2002 189  7  8 0400  -16.6  444.0    4.2   72.0   83.5  444.0
2002 189  7  8 0500  444.0  444.0  444.0  444.0  444.0  444.0
2002 189  7  8 0600  -14.2  990.1    6.2   53.0   85.9  444.0
2002 189  7  8 0700  -12.6  444.0    7.8   45.0   87.8  444.0
2002 189  7  8 0800  -10.2  986.0    8.3   36.0   89.8  444.0
2002 189  7  8 0900   -8.4  444.0   11.9   26.0   91.1  444.0
2002 189  7  8 1000  444.0  444.0  444.0  444.0  444.0  444.0
2002 189  7  8 1100  -11.3  981.1   12.7  280.0   88.5  444.0
2002 189  7  8 1200  -13.2  444.0   14.3  278.0   86.6  444.0
2002 189  7  8 1300  -16.3  979.7   17.6  262.0   82.9  444.0
2002 189  7  8 1400  -19.1  444.0   16.4  284.0   81.1  444.0
2002 189  7  8 1500  444.0  444.0  444.0  444.0  444.0  444.0
