Year: 2002  Month: 11  ID: PTM  ARGOS:  8909  Name: Port Martin         
Lat: 66.82S  Lon: 141.40E  Elev:   39m
2002 311 11  7 0000   -7.4  987.0  444.0  444.0   58.0  444.0
2002 311 11  7 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002 311 11  7 0200   -6.4  986.9  444.0  444.0   58.8  444.0
2002 311 11  7 0300  444.0  444.0  444.0  444.0  444.0  444.0
2002 311 11  7 0400   -6.0  986.2  444.0  444.0   58.8  444.0
2002 311 11  7 0500   -4.9  985.3  444.0  444.0   59.7  444.0
2002 311 11  7 0600   -6.0  985.2  444.0  444.0   58.4  444.0
2002 311 11  7 0700   -6.5  985.1  444.0  444.0   58.0  444.0
2002 311 11  7 0800   -7.4  984.9  444.0  444.0   58.4  444.0
2002 311 11  7 0900   -8.0  985.5  444.0  444.0   58.0  444.0
2002 311 11  7 1000   -8.9  985.0  444.0  444.0   58.0  444.0
2002 311 11  7 1100   -9.5  985.8  444.0  444.0   57.5  444.0
2002 311 11  7 1200  -10.8  985.1  444.0  444.0   57.1  444.0
2002 311 11  7 1300  -11.5  444.0  444.0  444.0   56.6  444.0
2002 311 11  7 1400  -11.9  985.3  444.0  444.0   56.2  444.0
2002 311 11  7 1500  -12.5  984.9  444.0  444.0   56.6  444.0
2002 311 11  7 1600  444.0  444.0  444.0  444.0  444.0  444.0
2002 311 11  7 1700  -13.0  984.8  444.0  444.0   55.8  444.0
2002 311 11  7 1800  -13.1  983.8  444.0  444.0   55.8  444.0
2002 311 11  7 1900  -12.6  984.3  444.0  444.0   55.8  444.0
2002 311 11  7 2000  -12.0  984.9  444.0  444.0   56.2  444.0
2002 311 11  7 2100  444.0  444.0  444.0  444.0  444.0  444.0
2002 311 11  7 2200  -10.5  985.2  444.0  444.0   56.6  444.0
2002 311 11  7 2300   -9.6  985.4  444.0  444.0   56.6  444.0
2002 312 11  8 0000   -9.1  984.7  444.0  444.0   57.1  444.0
2002 312 11  8 0100  444.0  444.0  444.0  444.0  444.0  444.0
